country_code,country,city,city_id,rel_id,population,wikidata,lat,lon,parking,place_of_worship,school,bench,restaurant,fuel,cafe,fast_food,bank,waste_basket,post_box,pharmacy,bicycle_parking,toilets,kindergarten,recycling,shelter,grave_yard,drinking_water,post_office,pub,bar,hospital,atm,parking_space,police,hunting_stand,vending_machine,telephone,townhall,fire_station,fountain,public_building,doctors,community_centre,library,clinic,social_facility,car_wash,dentist,waste_disposal,marketplace,bus_station,university,college,parking_entrance,swimming_pool,theatre,taxi,veterinary
AT,Austria,Wien,0,109166,1840226.0,Q1741,48.2083537,16.372504199999998,2597,452,562,2676,2519,213,1081,772,332,1735,648,337,2080,387,418,1679,702,23,610,116,302,334,39,286,16,104,45,620,1018,7,29,170,80,517,58,91,15,62,63,145,50,42,8,99,10,178,43,71,159,80
AT,Austria,Graz,1,34719,280000.0,Q13298,47.0702563,15.438571599999998,1465,142,131,1587,442,65,335,178,92,886,130,61,1299,82,116,508,19,1,124,27,77,78,8,78,68,15,18,657,159,1,5,30,24,989,18,55,11,55,25,130,4,11,5,88,2,131,22,25,40,22
AT,Austria,Linz,2,86708,197283.0,Q41329,48.3059078,14.286198,2084,85,113,509,301,47,105,102,83,140,55,42,151,42,91,776,324,2,17,18,56,44,8,41,18916,12,3,238,58,4,9,59,22,38,31,8,1,40,14,12,3,2,1,11,1,293,2,8,13,8
AT,Austria,Salzburg,3,86538,152083.0,Q34713,47.798134600000004,13.046480599999999,687,85,67,685,270,35,114,66,77,144,82,31,197,47,38,116,8,0,17,19,43,65,7,49,2,13,16,194,62,2,6,50,11,357,5,4,5,15,14,148,0,2,3,35,4,70,0,20,26,7
AT,Austria,Innsbruck,4,4835169,127000.0,Q1735,47.265429600000004,11.392768499999999,280,96,83,296,244,33,159,78,48,60,66,30,197,30,28,71,27,9,115,12,40,55,4,38,5,13,5,545,54,1,12,23,19,41,13,14,1,22,8,8,4,3,2,50,7,24,0,11,12,6
AT,Austria,Klagenfurt,5,105870,100316.0,Q41753,46.6228162,14.307960399999999,289,55,59,58,149,30,168,35,59,14,19,25,40,16,21,22,7,7,19,11,30,48,6,20,2,10,33,26,14,1,15,15,24,36,1,6,2,7,10,10,0,1,1,8,2,32,0,5,5,8
CH,Switzerland,Zürich,0,1682248,396027.0,Q72,47.372395700000006,8.5423216,944,127,171,2335,1007,89,278,262,88,1176,451,112,366,240,167,245,624,0,802,40,76,182,16,169,66,23,1,487,125,12,9,131,0,41,26,50,5,124,13,19,26,7,2,32,27,186,29,34,42,7
CH,Switzerland,Genève,1,1685488,191557.0,Q71,46.2017559,6.146601400000001,318,50,88,379,377,18,96,45,39,364,42,73,55,39,17,132,2,0,113,16,13,51,18,22,0,10,0,7,28,3,4,66,15,5,4,14,4,9,4,4,1,1,3,19,14,16,4,27,10,4
CH,Switzerland,Basel,2,1683619,174491.0,Q78,47.55810770000001,7.5878261,94,43,57,436,269,33,77,33,37,52,65,39,37,63,14,51,139,0,44,19,15,46,17,59,0,7,0,152,44,1,4,44,3,9,2,21,0,6,0,2,0,1,2,8,2,7,5,11,4,3
CH,Switzerland,Lausanne,3,1685018,133521.0,Q807,46.5218269,6.6327025,326,38,81,515,225,28,48,55,19,6,65,49,30,46,2,24,13,0,61,16,32,40,11,31,30,8,0,2,51,1,4,77,6,0,4,17,2,6,1,1,0,0,2,4,5,37,2,15,7,1
CH,Switzerland,Bern,4,1682378,128848.0,Q70,46.9482713,7.4514512,400,45,96,626,353,31,77,87,28,174,247,44,250,47,155,50,115,0,5,20,11,41,12,64,4,9,0,126,112,1,4,153,28,15,10,30,1,40,6,9,2,0,2,57,36,148,0,22,2,6
CH,Switzerland,Winterthur,5,1682243,108044.0,Q9125,47.4991723,8.7291498,790,44,101,276,197,26,41,54,11,96,93,21,183,30,106,45,46,0,105,9,29,15,3,38,0,7,2,17,16,3,1,43,3,15,49,10,4,17,9,7,0,1,1,5,9,230,0,7,1,1
DE,Germany,Berlin,0,62422,3531201.0,Q64,52.517036499999996,13.388859900000002,7188,693,1163,8836,4062,328,2145,2098,443,2655,1972,770,3233,634,2117,1949,592,39,43,205,1034,654,69,678,483,78,57,1317,1255,45,94,399,60,558,256,129,47,418,147,270,84,65,7,97,81,218,1,178,379,96
DE,Germany,Hamburg,1,62782,1812709.0,Q1055,53.550341,10.000653999999999,6380,426,626,3635,1839,235,810,860,357,584,1228,400,1187,275,714,1017,193,11,32,210,442,220,31,197,78,63,10,939,452,7,110,64,70,462,251,166,6,203,73,162,67,40,13,86,12,319,0,79,146,69
DE,Germany,München,2,62428,1528849.0,Q1726,48.1371079,11.575382199999998,3928,368,441,4906,1850,143,715,685,320,1660,754,370,1456,275,596,1020,1725,35,37,121,321,237,98,251,81,39,6,2332,452,8,34,327,116,337,75,69,12,130,46,136,31,33,4,95,19,737,29,59,189,59
DE,Germany,Köln,3,62578,1069200.0,Q365,50.938361,6.959974000000001,2875,447,407,2024,1125,146,456,496,219,1107,599,244,894,109,321,677,171,42,15,76,500,131,59,144,69,22,19,717,404,12,51,85,253,123,39,60,5,618,41,55,14,23,3,85,23,235,0,48,103,27
DE,Germany,Frankfurt am Main,4,62400,701350.0,Q1794,50.1106444,8.682091699999999,1385,259,228,977,1128,79,348,332,167,263,310,165,713,99,408,382,150,0,7,54,173,159,28,106,20,30,14,321,221,9,60,84,39,78,49,32,3,36,21,31,28,10,3,65,6,141,0,36,56,11
DE,Germany,Stuttgart,5,2793104,613392.0,Q1022,48.778448499999996,9.1800132,2029,251,258,3118,836,80,256,333,179,1544,369,131,783,108,314,372,100,4,29,66,256,125,22,82,114,35,34,1236,282,22,35,175,63,139,32,33,2,116,40,41,31,8,3,17,6,519,0,31,58,7
DE,Germany,Dortmund,6,1829065,600933.0,Q1295,51.5142273,7.4652789,3136,179,271,641,385,102,128,250,125,174,255,125,203,84,227,475,213,10,12,57,157,27,25,43,10,17,7,109,191,5,36,26,40,63,21,19,1,16,25,48,9,5,8,12,16,24,0,12,35,12
DE,Germany,Düsseldorf,7,62539,598686.0,Q1718,51.2254018,6.7763137,2585,206,228,1238,760,76,277,318,138,517,435,166,450,202,323,690,533,13,11,60,290,54,18,76,41,20,3,362,247,5,25,94,19,106,20,45,3,55,31,48,7,19,2,6,13,394,0,25,122,16
DE,Germany,Essen,8,62713,569884.0,Q2066,51.457087,7.011429,2031,222,329,1977,452,86,154,293,122,443,321,138,477,94,211,1420,259,7,1,43,142,20,28,99,68,21,24,211,231,8,21,56,41,92,23,28,2,113,23,46,1,11,7,3,20,150,0,19,59,13
DE,Germany,Bremen,9,62559,551415.0,Q24879,53.0758196,8.8071646,2415,177,195,2104,534,95,229,385,137,603,440,124,935,137,233,365,98,2,2,53,267,58,12,150,100,39,27,431,359,4,27,33,0,182,23,32,13,108,42,79,7,27,6,9,7,64,0,34,53,24
DE,Germany,Dresden,10,191645,538678.0,Q1731,51.0493286,13.7381437,2450,117,235,3280,591,64,236,317,96,829,626,122,1277,110,277,758,139,11,6,55,103,83,6,104,106,20,90,706,260,14,36,136,7,169,30,35,9,73,47,91,48,14,1,15,20,110,2,39,70,20
DE,Germany,Nürnberg,11,62780,526920.0,Q2090,49.453872,11.077297999999999,1617,160,141,942,721,88,271,330,132,372,320,130,367,92,228,556,104,7,13,48,188,106,13,57,67,10,8,455,294,5,22,77,27,80,14,20,2,61,26,41,7,11,5,17,0,64,0,27,42,11
DE,Germany,Hannover,12,59418,525875.0,Q1715,52.374477899999995,9.738553199999998,1565,180,191,1247,540,92,179,230,126,252,406,122,1261,129,186,301,73,4,14,51,134,62,54,53,66,39,5,208,230,6,22,152,94,105,17,31,1,114,20,43,24,11,6,139,8,50,0,32,121,20
DE,Germany,Leipzig,13,62649,520838.0,Q2079,51.3391827,12.3810549,2005,135,220,1678,578,74,206,466,83,381,312,135,867,98,231,393,344,11,1,56,128,73,5,85,339,22,22,120,162,16,35,58,33,140,25,60,18,79,75,83,42,7,5,62,7,29,0,36,52,18
DE,Germany,Duisburg,14,62456,486855.0,Q2100,51.434999,6.759562,1272,160,177,808,209,78,78,167,83,180,146,98,96,31,90,130,91,7,0,25,80,4,23,24,38,20,5,124,95,11,28,31,15,56,9,15,3,51,25,15,1,10,2,6,8,92,0,5,18,4
DE,Germany,Bochum,15,62644,371075.0,Q2103,51.4818111,7.219663499999999,1767,147,162,735,304,64,108,187,74,263,154,93,120,76,117,181,450,3,9,29,82,25,19,45,12,11,3,93,92,4,26,29,17,69,24,71,1,39,30,28,11,12,0,9,9,48,0,14,14,8
DE,Germany,Wuppertal,16,62478,361077.0,Q2107,51.264018,7.178037400000001,912,158,149,790,211,63,78,119,63,444,206,62,139,30,99,324,70,10,3,35,70,14,14,37,11,12,6,260,114,4,24,18,19,55,18,14,1,48,28,11,0,8,1,4,7,46,0,10,25,4
DE,Germany,Bielefeld,17,62646,328864.0,Q2112,52.010877,8.540868,1570,141,200,1736,257,74,139,170,82,827,296,73,379,52,155,197,36,5,2,34,86,16,23,46,131,23,24,375,194,17,35,24,10,123,35,10,13,92,12,59,4,5,0,10,6,19,0,11,27,11
DE,Germany,Bonn,18,62508,320128.0,Q586,50.735851000000004,7.10066,1814,201,238,1084,399,51,140,167,81,406,301,104,526,24,212,324,86,6,44,40,82,24,13,57,2,12,45,308,152,8,23,53,45,74,17,37,10,50,24,44,5,3,4,41,6,32,0,28,35,10
