name,place,population,wikidata,lat,lon
Wien,city,1840226.0,Q1741,48.2083537,16.3725042
Bad Aussee,town,4762.0,Q251065,47.6094591,13.7832389
Purkersdorf,town,9684.0,Q590620,48.2076724,16.1772068
Graz,city,280000.0,Q13298,47.0702563,15.4385716
Linz,city,197283.0,Q41329,48.3059078,14.286198
Zell am See,town,7477.0,Q187572,47.3239525,12.7962751
Wels,town,59853.0,Q178582,48.1566957,14.0244047
Leoben,town,8049.0,,47.3827417,15.0942137
Voitsberg,town,,,47.0504742,15.1474771
Köflach,town,4856.0,,47.0644882,15.0850032
Wiener Neustadt,town,38481.0,Q131612,47.8131761,16.2440318
Mattersburg,town,7177.0,Q250832,47.7368423,16.3980488
Eisenstadt,town,13674.0,Q126321,47.8454821,16.5249288
Wörgl,town,10885.0,,47.4872718,12.0637633
Kufstein,town,17174.0,Q486341,47.582996,12.1692134
Neulengbach,town,1529.0,,48.1970124,15.907098
Alland,town,1396.0,Q665137,48.0588086,16.075773
Hainfeld,town,2025.0,,48.0348811,15.7712084
Stockerau,town,16858.0,,48.3846124,16.2076303
Korneuburg,town,,,48.3440605,16.3334321
Altlengbach,town,913.0,,48.1534694,15.91884
Bruck an der Leitha,town,,,48.0255094,16.7790041
Orth an der Donau,town,1966.0,,48.1486658,16.7017163
Melk,town,5296.0,Q489806,48.2272068,15.3369992
Villach,town,61221.0,Q483522,46.6167284,13.8500268
Klagenfurt,city,100316.0,Q41753,46.6228162,14.3079604
Heiligenblut,town,1111.0,,47.0392667,12.8421104
Gmunden,town,13104.0,Q430449,47.9185855,13.8003048
Kirchdorf an der Krems,town,4099.0,Q688620,47.905194,14.1244169
Spittal an der Drau,town,15549.0,Q487500,46.7982211,13.4963308
St. Johann in Tirol,town,8342.0,Q699599,47.5224141,12.4286809
Feldkirch,town,32534.0,Q183104,47.2375671,9.5981724
Neukirchen am Großvenediger,town,1609.0,,47.251607,12.2762162
Bad Vöslau,town,11190.0,Q798800,47.9655519,16.2148073
Baden,town,25000.0,Q486450,48.0085749,16.2334951
Berndorf,town,8698.0,Q666615,47.9455876,16.1093585
Schärding,town,,,48.4569975,13.4318
Mondsee,town,3205.0,,47.8560014,13.3500658
Innsbruck,city,127000.0,Q1735,47.2654296,11.3927685
Oberpullendorf/Felsőpulya,town,3176.0,,47.5012609,16.5054577
Mank,town,1571.0,,48.111069,15.3410341
Fehring,town,,,46.9359649,16.01045
Jennersdorf,town,2351.0,,46.9371733,16.1412906
Gleisdorf,town,5224.0,,47.1067722,15.7058606
Fürstenfeld,town,,,47.0499925,16.0816815
Frohnleiten,town,3467.0,,47.2715315,15.3260206
Bruck an der Mur,town,9748.0,,47.4121987,15.2721668
Leibnitz,town,,,46.7804762,15.5407005
Deutschlandsberg,town,7983.0,,46.8146272,15.2137799
Kapfenberg,town,23004.0,Q623049,47.4405481,15.2901669
Mürzzuschlag,town,6842.0,,47.6053538,15.6723805
Mureck,town,1690.0,,46.7083655,15.7690617
Salzburg,city,152083.0,Q34713,47.7981346,13.0464806
Oberwart/Felsőőr,town,6442.0,,47.2861513,16.2124214
Ried im Innkreis,town,11404.0,,48.2085868,13.48839
Plainfeld,town,1189.0,,47.8323325,13.1831669
Eugendorf,town,1751.0,Q257523,47.8671332,13.1231841
Ebenau,town,207.0,,47.7906849,13.175644
Seeboden,town,6325.0,Q660576,46.8190736,13.5186548
Radenthein,town,1974.0,,46.8007487,13.7107017
Millstatt,town,3334.0,Q668044,46.8051293,13.5714926
Heidenreichstein,town,4067.0,,48.8657996,15.1230155
Litschau,town,1451.0,Q669693,48.9443409,15.0453244
Gmünd,town,5088.0,,48.7729279,14.9861752
Pregarten,town,2509.0,,48.3549856,14.5308123
Waidhofen an der Thaya,town,5578.0,,48.8146165,15.284518
Weitra,town,1749.0,,48.7007937,14.8941385
Zistersdorf,town,3138.0,,48.5447465,16.7621379
Mistelbach,town,10643.0,,48.5694115,16.5711767
Ernstbrunn,town,1332.0,,48.5282016,16.3628114
