name,place,population,wikidata,lat,lon
Burgdorf,town,16228.0,Q68311,47.0571316,7.6237466
Bern,city,128848.0,Q70,46.9482713,7.4514512
Interlaken,town,5504.0,Q68103,46.6855231,7.8585139
Spiez,town,12027.0,,46.6919473,7.6774655
Schwyz,town,14750.0,Q68155,47.0211848,8.6535598
Davos,town,11211.0,Q68097,46.7961744,9.8237266
Dübendorf,town,26759.0,Q64082,47.3968244,8.6183023
Basel,city,174491.0,Q78,47.5581077,7.5878261
Liestal,town,13807.0,Q68972,47.4839723,7.7347783
Weinfelden,town,10066.0,,47.5669187,9.1097539
Neuhausen,town,10220.0,Q69372,47.6811644,8.6197347
Schaffhausen,town,35927.0,Q9009,47.6960491,8.634513
Amriswil,town,11357.0,,47.5500227,9.2981219
Pfäffikon,town,7222.0,Q671010,47.2003055,8.7780752
Aarau,town,20687.0,Q14274,47.3927146,8.0444448
Adliswil,town,15822.0,Q68210,47.3117624,8.52491
Schlieren,town,18414.0,Q69148,47.3965147,8.4444861
Thalwil,town,17729.0,Q68959,47.2944325,8.5635762
Wädenswil,town,21012.0,Q69718,47.2278836,8.6701981
Kreuzlingen,town,20846.0,Q63905,47.6464362,9.1725621
Stäfa,town,11567.0,,47.2413349,8.7348747
Männedorf,town,10588.0,Q64627,47.253174,8.6918153
Meilen,town,13515.0,Q68261,47.2694197,8.6425901
Küsnacht,town,13796.0,Q69216,47.3179942,8.5808208
Muri,town,12901.0,Q69765,46.9290477,7.4870909
Glarus,town,12446.0,Q63912,47.0422116,9.0674041
Ittigen,town,11067.0,Q69690,46.9790726,7.4815213
Münsingen,town,11813.0,Q69783,46.8739775,7.5631943
Ostermundigen,town,16185.0,Q69682,46.9582779,7.4911242
Zollikofen,town,10041.0,Q69675,46.9959463,7.4576417
Lyss,town,14080.0,Q69512,47.0721368,7.305262
Wattwil,town,8265.0,,47.300445,9.0871047
Worb,town,11449.0,Q69732,46.9308618,7.5645522
Versoix,town,13057.0,Q63979,46.2767572,6.168958
Genève,city,191557.0,Q71,46.2017559,6.1466014
Lausanne,city,133521.0,Q807,46.5218269,6.6327025
Payerne,town,9302.0,,46.8208047,6.939126
Meyrin,town,21866.0,Q68230,46.2283226,6.0712016
Lancy,town,30919.0,Q64065,46.1839156,6.1224047
Thônex,town,13756.0,Q68201,46.1884304,6.1983858
Vernier,town,34477.0,Q63922,46.2131843,6.0815756
Le Grand-Saconnex,town,11911.0,Q69714,46.2363321,6.126532
Onex,town,18074.0,Q68240,46.1836887,6.1001121
Brig,town,12823.0,Q15582,46.3163457,7.9879473
Plan-les-Ouates,town,10281.0,Q65273,46.1683113,6.117887
Visp,town,7281.0,Q64147,46.2913113,7.8811918
Sierre,town,16711.0,Q68297,46.2922522,7.5323195
Uzwil,town,4465.0,Q64171,47.4370506,9.1333201
Zug,town,29251.0,Q68144,47.1679898,8.5173652
Baden,town,18523.0,Q63939,47.4736827,8.3086822
Wettingen,town,17870.0,Q27576,47.4678661,8.3220846
Zermatt,town,5786.0,Q27494,46.0222273,7.7494002
Romanshorn,town,9076.0,,47.5654452,9.3776036
Volketswil,town,18437.0,Q69754,47.3898617,8.690503
Pratteln,town,15323.0,Q64679,47.5192013,7.6944741
Martigny,town,14361.0,,46.103115,7.0727354
Thun,town,42929.0,Q68978,46.7582827,7.628086
Stans,town,8207.0,Q63931,46.9570611,8.3661026
Steffisburg,town,15689.0,Q69668,46.7774738,7.6354195
Sion,town,33296.0,Q68136,46.2311749,7.3588795
Monthey,town,17512.0,Q64051,46.2528521,6.9478171
Aigle,town,9757.0,Q43195,46.3179006,6.9688929
Montreux,town,26208.0,Q69354,46.4310831,6.9129921
Langenthal,town,15291.0,Q69726,47.2115846,7.7888427
Pully,town,17624.0,Q69738,46.5098019,6.6617476
Reinach,town,18839.0,Q69747,47.4935369,7.5910891
Zürich,city,396027.0,Q72,47.3723957,8.5423216
Rotkreuz,town,8518.0,Q1630904,47.1408931,8.4308936
Brugg,town,9143.0,,47.4824633,8.2085662
Bassersdorf,town,11561.0,Q69734,47.4435706,8.6299131
Horw,town,12648.0,,47.0185008,8.3107797
Nyon,town,19738.0,Q64027,46.3820585,6.2402791
La Chaux-de-Fonds,town,39027.0,Q68124,47.103287,6.8324545
Muttenz,town,17370.0,Q66191,47.525113,7.6477401
Altstätten,town,8324.0,Q68281,47.3783471,9.5412765
Carouge,town,20910.0,Q69364,46.1846691,6.1396839
Renens,town,20131.0,Q69745,46.5349093,6.5928442
Kloten,town,18412.0,Q68165,47.4525133,8.5861477
Binningen,town,14905.0,Q69621,47.53656,7.570077
Oftringen,town,10305.0,,47.3126595,7.92099
Prilly,town,11609.0,Q69757,46.534566,6.6055827
Rapperswil,town,26354.0,Q688539,47.2269198,8.8245459
Sankt Gallen,town,74581.0,Q25607,47.4250593,9.3765878
Effretikon,town,16693.0,Q64873,47.4283137,8.6869714
Rheinfelden,town,10673.0,,47.5543859,7.7922905
Einsiedeln,town,12622.0,,47.1286095,8.7500299
Wetzikon,town,24373.0,Q68305,47.3226925,8.7980939
Zofingen,town,9432.0,,47.288491,7.9458259
Buchs,town,12187.0,Q68277,47.1627634,9.4764086
Rüti,town,10804.0,,47.2579312,8.852696
Le Locle,town,10529.0,,47.0555907,6.745454
Bussigny,town,8132.0,Q52300,46.5512503,6.553745
Aesch,town,10211.0,Q68367,47.4682447,7.5980395
Altdorf,town,8981.0,Q68150,46.8820732,8.6413922
La Tour-de-Peilz,town,10974.0,Q69721,46.4537524,6.8569063
Birsfelden,town,10277.0,Q64665,47.5542152,7.6304739
Biel/Bienne,town,55383.0,Q1034,47.1420451,7.2585667
Yverdon-les-Bains,town,29406.0,Q63946,46.7785711,6.6409158
Wohlen,town,14259.0,,47.3504945,8.2786906
Zollikon,town,12744.0,Q218691,47.3395679,8.5761264
Appenzell,town,5751.0,Q209270,47.3303856,9.4095307
Belp,town,11548.0,Q69678,46.88978,7.498388
Kriens,town,25932.0,Q14571,47.0350948,8.2791767
Münchenstein,town,11688.0,Q69030,47.5187909,7.6174515
Cham,town,,,47.1823761,8.4611036
Wil,town,16392.0,Q64077,47.4654409,9.0423202
Sarnen,town,10192.0,Q63964,46.8956729,8.2461492
Therwil,town,10007.0,Q66595,47.499334,7.5574747
Opfikon,town,18482.0,Q64224,47.4322671,8.5779983
Allschwil,town,20249.0,Q64727,47.5517277,7.5361588
Oberwil,town,11105.0,Q69724,47.5136942,7.5527853
Bremgarten,town,5338.0,,47.3539569,8.3376446
Ecublens,town,12009.0,Q69716,46.5261672,6.5620735
Chêne-Bougeries,town,10642.0,Q69530,46.1963639,6.1854072
Goldau,town,5437.0,Q474619,47.051219,8.5507758
Regensdorf,town,18010.0,Q64205,47.4316696,8.4686942
Mendrisio,town,15562.0,Q69041,45.8709902,8.9873461
Morges,town,15228.0,Q69401,46.5093268,6.498317
Richterswil,town,13022.0,Q68227,47.2091079,8.7017051
Dietikon,town,26633.0,Q64070,47.4068827,8.4020894
Crissier,town,7316.0,Q57121,46.5538658,6.5772501
Illnau,town,16117.0,Q64873,47.4088363,8.7255432
Luzern,town,81284.0,Q4191,47.0505452,8.3054682
Glattbrugg,town,,,47.4326312,8.5647892
Jona,town,17799.0,Q669350,47.2299661,8.837658
Herisau,town,15342.0,Q63970,47.38555,9.2787571
Bellinzona,town,17962.0,Q64044,46.1918617,9.0204562
Lugano,town,68677.0,Q7024,46.0050102,8.9520281
Affoltern am Albis,town,11363.0,Q68290,47.2782467,8.4521518
Horgen,town,18935.0,Q68286,47.260692,8.5976831
Uster,town,33097.0,Q64032,47.3512065,8.7179221
Winterthur,city,108044.0,Q9125,47.4991723,8.7291498
Bülach,town,19342.0,Q9093,47.5172321,8.5407118
Delémont,town,11809.0,Q63896,47.3619609,7.354039
Solothurn,town,16599.0,Q68965,47.2081355,7.5384045
Grenchen,town,16401.0,Q68248,47.1968713,7.3965792
Olten,town,17280.0,Q68129,47.3496571,7.903787
Villars-sur-Glâne,town,12057.0,Q69760,46.7932418,7.1252018
Murten,town,6490.0,Q68283,46.9284075,7.1163317
Bulle,town,21991.0,Q68308,46.6190969,7.0581152
Arbon,town,14100.0,,47.5149257,9.4304026
Ebikon,town,11322.0,Q14566,47.0812067,8.338521
Arth,town,10794.0,,47.0644551,8.5238673
Köniz,town,39794.0,Q64058,46.9222385,7.4130582
Chur,town,34350.0,Q69007,46.855515,9.5254066
Frauenfeld,town,24864.0,Q68120,47.5562359,8.8964139
Wallisellen,town,15603.0,Q69374,47.4166195,8.5919985
Riehen,town,20970.0,Q5262,47.5816927,7.6479737
Fribourg,town,37485.0,Q36378,46.8030044,7.1512891
Laufenburg,town,2096.0,,47.5604617,8.0601696
Locarno,town,15671.0,Q11935,46.1695112,8.7954217
Gland,town,11947.0,Q69300,46.4212913,6.2675845
Lenzburg,town,9162.0,,47.3872367,8.1828505
Emmen,town,29721.0,Q4225,47.0752429,8.2839456
Gossau,town,17827.0,Q69777,47.4155906,9.249359
Oberarth,town,,,47.0542976,8.5371458
Neuchâtel,town,33641.0,Q69345,46.9895828,6.9292641
Vevey,town,19220.0,Q68160,46.4604627,6.8424616
Baar,town,23557.0,Q64087,47.1951976,8.5253985
