name,place,population,wikidata,lat,lon
Bensheim,town,39642.0,Q14872,49.6810158,8.6227577
Wendlingen am Neckar,town,15554.0,Q81860,48.6727602,9.3838404
Esslingen am Neckar,town,92261.0,Q3786,48.7427584,9.3071685
Plochingen,town,13689.0,Q82274,48.711173,9.4184961
Cuxhaven,town,48325.0,Q4197,53.86878,8.698286
Hemmoor,town,8714.0,Q505729,53.6886857,9.1595122
Zeven,town,12133.0,Q197045,53.299291,9.280382
Gößweinstein,town,4082.0,Q507319,49.7694317,11.3369898
Erlangen,city,105624.0,Q3126,49.5981187,11.003645
Ettlingen,town,38819.0,Q14893,48.9397149,8.40427
Ostseebad Rerik,town,2153.0,Q536844,54.1067652,11.6171165
Kirchheim bei München,town,12804.0,Q504880,48.175748,11.756219
Hildesheim,city,99390.0,Q3185,52.1521636,9.9513046
Bocholt,town,70856.0,Q3917,51.8382715,6.6148669
Chemnitz,city,243089.0,Q2795,50.8322608,12.9252977
Hamburg,city,1812709.0,Q1055,53.550341,10.000654
Markt Schwaben,town,12703.0,Q552464,48.1914326,11.867376
Köln,city,1069200.0,Q365,50.938361,6.959974
Bremen,city,551415.0,Q24879,53.0758196,8.8071646
Bremervörde,town,18701.0,Q501875,53.4850249,9.1362085
Geretsried,town,23610.0,Q504780,47.8646925,11.479351
Herne,city,154417.0,Q2904,51.5380394,7.219985
Lünen,town,90800.0,Q3822,51.6142482,7.5228088
Suhl,town,,,50.6086518,10.6926437
Königs Wusterhausen,town,33370.0,Q16013,52.2994511,13.6244389
Oyten,town,15413.0,Q501642,53.0594513,9.0188655
Alpirsbach,town,6310.0,Q82781,48.3456021,8.4033079
Buxtehude,town,40173.0,Q14868,53.4767351,9.7003941
Geisenfeld,town,9704.0,Q259795,48.683404,11.6124731
Bad Reichenhall,town,17513.0,Q487971,47.7222676,12.8760923
Berchtesgaden,town,7741.0,Q278221,47.63108,13.0021634
Furth im Wald,town,8953.0,Q502370,49.308165,12.8452877
Bad Hindelang,town,4899.0,Q522573,47.5062921,10.3699251
Bayreuth,town,72295.0,Q3923,49.9427202,11.5763079
Stadtsteinach,town,3234.0,Q427292,50.1613344,11.5054549
Hollfeld,town,5180.0,Q503048,49.9389862,11.2918916
Lichtenfels,town,20169.0,Q160405,50.14568,11.06382
Hirschaid,town,11919.0,Q538066,49.815393,10.9895721
Forchheim,town,30705.0,Q16116,49.7187128,11.059642
Schwerin,city,91583.0,Q1709,53.6288297,11.4148038
Teterow,town,8671.0,,53.7709505,12.5753569
Mittenwald,town,7926.0,Q127553,47.4429543,11.2655684
Helmbrechts,town,9470.0,Q494110,50.2349797,11.7163126
Brüel,town,3169.0,Q559019,53.7344671,11.7158035
Stralsund,town,57301.0,Q4065,54.3159851,13.0904622
Kiel,city,246306.0,Q1707,54.3216753,10.1371858
Wahlstedt,town,9391.0,,53.9528957,10.2121481
Neumünster,town,79197.0,Q3879,54.0715956,9.9865296
Unterhaching,town,23217.0,Q264899,48.0662249,11.6102245
Herzebrock-Clarholz,town,15857.0,Q225120,51.8993207,8.2249038
Dortmund,city,600933.0,Q1295,51.5142273,7.4652789
Lübeck,city,212958.0,Q2843,53.866444,10.684738
Gießen,town,77733.0,Q3874,50.5862066,8.6742306
Eggenfelden,town,13090.0,Q255201,48.4031909,12.7626208
Wolfratshausen,town,17464.0,Q503160,47.9104632,11.4266377
Zweibrücken,town,34084.0,Q16017,49.248655,7.3641981
Ramstein-Miesenbach,town,8107.0,Q22867,49.4518819,7.5543118
Hofheim,town,38556.0,Q14896,50.086546,8.447324
Schlangen,town,8770.0,,51.8097549,8.8447903
Neuburg an der Donau,town,28184.0,Q125652,48.7371951,11.1795268
Wächtersbach,town,12267.0,Q558612,50.2545009,9.2947357
Bad Orb,town,9395.0,Q574465,50.2276774,9.3485142
Steinau an der Straße,town,10414.0,Q263974,50.3111959,9.461037
Langenselbold,town,13553.0,Q544737,50.1780857,9.0433074
Erlensee,town,13141.0,Q287204,50.1624394,8.9846455
Hasselroth,town,7379.0,,50.1591912,9.0988968
Höchstadt an der Aisch,town,13158.0,Q510543,49.7046104,10.8077534
Neunkirchen am Brand,town,7854.0,Q259289,49.6126495,11.1300058
Würzburg,city,124700.0,Q2999,49.79245,9.932966
Veitshöchheim,town,9736.0,Q573628,49.8294358,9.8820664
Gemünden am Main,town,10290.0,Q505332,50.0557181,9.6910162
Strehla,town,4342.0,,51.352236,13.221527
Riesa,town,31760.0,Q8775,51.3038241,13.308828
Moers,city,105102.0,Q21039640,51.451283,6.62843
Schwarzenbruck,town,8397.0,Q508456,49.3561174,11.2396099
Weismain,town,4845.0,Q502610,50.0850003,11.2400354
Wermsdorf,town,6136.0,,51.2800216,12.9389605
Kupferberg,town,1035.0,,50.1391688,11.5767744
Markkleeberg,town,23940.0,Q10782,51.2785751,12.3718819
Seelze,town,32397.0,Q16052,52.3964639,9.594287
Sarstedt,town,18237.0,Q558620,52.2340379,9.8534254
Eilenburg,town,17950.0,Q12055,51.4598924,12.6334496
Coburg,town,41405.0,Q14821,50.258112,10.964463
Bad Düben,town,8000.0,Q12041,51.5911653,12.5856428
Bad Berneck,town,4719.0,Q504528,50.0428901,11.6678287
Sonthofen,town,21388.0,Q162845,47.5135363,10.281931
Murrhardt,town,13577.0,Q81768,48.9797657,9.5794661
Uelzen,town,33338.0,Q15989,52.966838,10.558615
Bonn,city,320128.0,Q586,50.735851,7.10066
Calw,town,22374.0,Q487921,48.7153344,8.7381796
Bad Liebenzell,town,8996.0,Q522349,48.7712716,8.7321279
Bad Soden-Salmünster,town,13351.0,Q558600,50.2801792,9.3704249
Freising,town,45857.0,Q6998,48.4008273,11.7439565
Königslutter am Elm,town,15666.0,Q39596,52.2499307,10.8171691
Bad Brückenau,town,6400.0,Q504513,50.3101036,9.7892824
Bad Honnef,town,24845.0,Q12434,50.6448582,7.2272534
Rheinbach,town,26790.0,Q12547,50.6256808,6.9491436
Pleinfeld,town,7405.0,,49.1044043,10.9780412
Schwabach,town,38770.0,Q14889,49.3295535,11.0195132
Heilbronn,city,118122.0,Q715,49.142291,9.218655
Eschwege,town,19470.0,Q1468,51.186867,10.0575056
Schneverdingen,town,18723.0,Q503006,53.1165973,9.7925898
Epe,town,,,52.1799913,7.0400883
