name,place,population,wikidata,lat,lon
Paris,city,2243833.0,Q90,48.8566101,2.3514992
Lyon,city,500715.0,Q456,45.7578137,4.8320114
Metz,city,120738.0,Q22690,49.1196964,6.1763552
Tours,city,134817.0,Q288,47.3900474,0.6889268
Clermont-Ferrand,city,139860.0,Q42168,45.7774551,3.0819427
Reims,city,181893.0,Q41876,49.2577886,4.031926
Dijon,city,151672.0,Q7003,47.3215806,5.0414701
Orléans,city,114167.0,Q6548,47.9027336,1.9086066
Amiens,city,133327.0,Q41604,49.8941708,2.2956951
Toulouse,city,441802.0,Q7880,43.6044622,1.4442469
Limoges,city,139150.0,Q45656,45.8354243,1.2644847
Rennes,city,207178.0,Q647,48.1113387,-1.6800198
Saint-Étienne,city,171260.0,Q42716,45.4401467,4.3873058
Nantes,city,300614.0,Q12191,47.2186371,-1.5541362
Besançon,city,116914.0,Q37776,47.237953,6.0243246
Le Mans,city,143240.0,Q1476,48.0078497,0.1997933
Strasbourg,city,271782.0,Q6602,48.584614,7.7507127
Mulhouse,city,109588.0,Q79815,47.7494188,7.3399355
Angers,city,149017.0,Q38380,47.4739884,-0.5515588
Lille,city,227560.0,Q648,50.6305089,3.0706414
Toulon,city,164532.0,Q44160,43.1257311,5.9304919
Nîmes,city,142205.0,Q42807,43.8374249,4.3600687
Rouen,city,110933.0,Q30974,49.4404591,1.0939658
Grenoble,city,155637.0,Q1289,45.182151,5.7274722
Boulogne-Billancourt,city,114205.0,Q172455,48.8356649,2.240206
Aix-en-Provence,city,141438.0,Q47465,43.5298424,5.4474738
Saint-Brieuc,town,46173.0,Q29234,48.5141594,-2.7602707
Bois-d'Arcy,town,13693.0,Q83417,48.799856,2.023607
Châteaubriant,town,12537.0,Q211187,47.7194057,-1.3757282
Saverne,town,12087.0,Q22741,48.7419909,7.3625953
Gonesse,town,26465.0,Q271659,48.9863555,2.4500537
Douarnenez,town,14912.0,,48.0944459,-4.3311243
Montluçon,town,38402.0,Q193256,46.3399276,2.6067229
Arcueil,town,19775.0,Q467132,48.8021118,2.3320692
Moissy-Cramayel,town,17272.0,Q839530,48.6270443,2.5957717
Foix,town,9885.0,Q184392,42.9660039,1.6096025
Montmagny,town,14250.0,,48.9728571,2.343561
Nœux-les-Mines,town,12206.0,,50.4754,2.6621899
Saint-André-lez-Lille,town,11336.0,,50.6608,3.04468
Blanquefort,town,14779.0,Q220592,44.9109239,-0.6369973
Le Mée-sur-Seine,town,20609.0,Q1058178,48.5381859,2.6335912
Dax,town,20810.0,Q188878,43.7080596,-1.0533076
Échirolles,town,35748.0,Q211134,45.1437,5.71927
Villepinte,town,35658.0,Q241064,48.9636566,2.5347541
Hendaye,town,15370.0,Q191754,43.3641518,-1.7616499
Sablé-sur-Sarthe,town,12466.0,,47.8400712,-0.3352048
Tournefeuille,town,26674.0,Q328022,43.5827846,1.3466543
Le Chesnay,town,28975.0,Q237281,48.8278506,2.1319603
Pierrelatte,town,13026.0,Q324027,44.3778474,4.6976609
Armentières,town,25200.0,Q193925,50.6886109,2.8839607
Coudekerque-Branche,town,22474.0,Q243851,51.020878,2.3894321
Chatou,town,30173.0,Q240752,48.8987,2.15122
Joué-lès-Tours,town,35976.0,Q269364,47.3510905,0.6622524
Gentilly,town,17100.0,Q640102,48.8127,2.34371
Creil,town,33601.0,Q331087,49.2635045,2.4737043
Yutz,town,16171.0,Q21983,49.3592829,6.1884051
Vitry-le-François,town,13065.0,Q623374,48.7262225,4.5851622
Lunéville,town,19881.0,Q208794,48.5916164,6.4919563
Millau,town,21800.0,Q203278,44.1006693,3.0777594
Torcy,town,22425.0,Q12423,48.8515,2.65265
Béthune,town,25655.0,Q207145,50.5199,2.64781
Palaiseau,town,30285.0,Q205580,48.7170283,2.2468567
Antony,town,61793.0,Q205592,48.753554,2.2959423
Neuilly-Plaisance,town,20508.0,Q685597,48.8611165,2.5089943
Châlette-sur-Loing,town,13050.0,,48.0165,2.73636
Neuilly-sur-Marne,town,33498.0,Q220906,48.8642,2.53921
Croix,town,20676.0,Q239091,50.6783122,3.1521074
Mazamet,town,9995.0,,43.4902317,2.3764363
Viroflay,town,15905.0,Q83432,48.8013,2.17056
Aubervilliers,town,76087.0,Q205632,48.9146078,2.3821895
Thionville,town,41127.0,Q22640,49.3579272,6.1675872
Valentigney,town,11388.0,,47.4622925,6.8308784
Roquebrune-Cap-Martin,town,12532.0,Q220668,43.7641047,7.4565697
Frontignan,town,22526.0,Q216280,43.4487615,3.7530636
Lanester,town,22142.0,Q71535,47.7639726,-3.3444489
Vieux-Condé,town,10494.0,,50.4724228,3.5675784
Marcq-en-Barœul,town,38947.0,Q271649,50.6767018,3.1043032
Sarrebourg,town,12565.0,,48.7338909,7.0512288
Bourg-en-Bresse,town,40088.0,Q133069,46.2051192,5.2250324
Saint-Égrève,town,15900.0,Q1069745,45.2325079,5.681781
Andrésy,town,12174.0,,48.9788963,2.0529587
Bourgoin-Jallieu,town,26173.0,Q208893,45.5872259,5.2828123
Athis-Mons,town,30393.0,Q244289,48.7079028,2.3890941
Franconville-la-Garenne,town,33097.0,Q237333,48.9890001,2.2247099
Garches,town,18000.0,Q246199,48.8437486,2.1853699
Stains,town,33829.0,Q258878,48.9565669,2.3825154
Wittelsheim,town,10268.0,,47.8021188,7.2402325
Saint-Cyr-sur-Loire,town,16072.0,Q656494,47.4052448,0.6658199
La Valette-du-Var,town,20700.0,Q321128,43.1378245,5.9834654
Noisiel,town,15660.0,Q900479,48.8473,2.61732
Clichy,town,58916.0,Q201982,48.9026,2.30551
Six-Fours-les-Plages,town,34897.0,Q327993,43.0935105,5.8393953
Fos-sur-Mer,town,15357.0,Q455657,43.4380714,4.945595
Maromme,town,11363.0,Q676672,49.476737,1.0308208
Cognac,town,18557.0,Q285,45.6931647,-0.3250175
La Garde,town,25930.0,Q244718,43.1249185,6.0128532
Cergy,town,56988.0,Q193903,49.0527528,2.0388736
Roubaix,town,94713.0,Q34001,50.6915893,3.1741734
Saint-Pierre-des-Corps,town,15227.0,Q1141332,47.3898152,0.7189761
Plœmeur,town,17805.0,,47.7354591,-3.4270534
Le Blanc-Mesnil,town,51438.0,Q208313,48.9385489,2.4631476
Dinan,town,10819.0,,48.4539775,-2.047687
Rillieux-la-Pape,town,29952.0,Q386122,45.823514,4.8994366
Maubeuge,town,31046.0,Q138648,50.2785567,3.9743784
Abbeville,town,24155.0,Q28520,50.1060835,1.8337029
Beaucaire,town,15946.0,Q211647,43.8085436,4.6392648
Saint-Malo,town,46342.0,Q163108,48.6454528,-2.015418
Chelles,town,52779.0,Q272916,48.8797422,2.5942129
La Ciotat,town,33829.0,Q231554,43.1758591,5.6062495
Canteleu,town,14825.0,,49.4507987,1.0352069
Hyères,town,55713.0,Q192574,43.1202573,6.1301614
Tarbes,town,43034.0,Q184023,43.232858,0.0781021
Cahors,town,20194.0,Q23047,44.4495,1.4364999
Septèmes-les-Vallons,town,11209.0,,43.3989529,5.3663965
Achères,town,20923.0,Q245504,48.9602658,2.0701647
Verrières-le-Buisson,town,15418.0,Q747799,48.7467819,2.2653844
Le Plessis-Robinson,town,27727.0,Q259107,48.7811049,2.2619632
Vélizy-Villacoublay,town,20089.0,Q387447,48.7809496,2.1900052
Étaples,town,11279.0,,50.5139552,1.6386252
Villefontaine,town,18374.0,Q1017253,45.614003,5.1580574
Conflans-Sainte-Honorine,town,35380.0,Q212507,49.0003001,2.1017799
Lognes,town,14560.0,,48.8323,2.63387
Sorgues,town,18046.0,Q538880,44.0066403,4.8725016
Manosque,town,22099.0,Q234274,43.8338026,5.7826657
Bailleul,town,14480.0,Q2481155,50.7396668,2.7349286
Mennecy,town,13395.0,,48.5666645,2.4347044
Montbrison,town,15299.0,Q213288,45.6070698,4.0653067
Courcouronnes,town,13812.0,,48.621,2.41381
Châteauroux,town,44960.0,Q174251,46.8047,1.6957099
Saint-Leu-la-Forêt,town,14766.0,,49.0212001,2.2480799
Saint-Étienne-du-Rouvray,town,28102.0,Q1058186,49.3831,1.09163
Roanne,town,36806.0,Q3581,46.0363902,4.0738682
Savigny-sur-Orge,town,36842.0,Q243956,48.6842593,2.3482788
Moulins,town,19590.0,Q184883,46.566142,3.333179
Avrillé,town,12639.0,,47.5045657,-0.5956539
Le Vésinet,town,16249.0,Q641607,48.8944,2.12974
Maisons-Alfort,town,53400.0,Q208314,48.8011197,2.4313619
Grande-Synthe,town,20991.0,Q769160,51.0134813,2.3029972
Orsay,town,15966.0,Q372281,48.6991805,2.1874811
Bry-sur-Marne,town,15625.0,Q369954,48.8394047,2.5216259
Carquefou,town,19101.0,Q540940,47.2971979,-1.4921233
Quimper,town,63550.0,Q342,47.9960325,-4.1024782
Enghien-les-Bains,town,11809.0,,48.9699732,2.3068482
Aulnay-sous-Bois,town,82300.0,Q192773,48.934231,2.499789
Nanterre,town,89185.0,Q170507,48.8924273,2.2071267
Vichy,town,24774.0,Q93351,46.1239268,3.4203712
Guyancourt,town,27966.0,Q237303,48.7729,2.07549
Albert,town,9774.0,,50.0034434,2.6479182
Freyming-Merlebach,town,13229.0,,49.1469665,6.8187189
Mont-Saint-Aignan,town,19341.0,Q1055925,49.4679,1.0813
Épinay-sur-Seine,town,54518.0,Q206961,48.9525181,2.3145039
Verdun,town,18513.0,Q154748,49.1589278,5.3867277
Les Ulis,town,24792.0,Q216844,48.6805587,2.1690093
Ozoir-la-Ferrière,town,20268.0,Q274588,48.7635246,2.6758198
Comines,town,12564.0,Q626537,50.7630973,3.0090781
Guéret,town,13573.0,Q188511,46.1686865,1.8713349
Berck,town,15367.0,Q334301,50.4052576,1.5711617
Longwy,town,14420.0,Q318535,49.5145564,5.7679082
Brie-Comte-Robert,town,16251.0,Q250399,48.6904522,2.6166737
Rombas,town,10023.0,,49.2502303,6.0949742
Villiers-le-Bel,town,26736.0,Q236136,49.0075433,2.3983967
Pontault-Combault,town,35561.0,Q717049,48.7884,2.61431
Carvin,town,17100.0,Q243566,50.4934145,2.9577519
Chevilly-Larue,town,18498.0,Q258757,48.768192,2.3624818
Cugnaux,town,15807.0,Q632107,43.5369936,1.3457537
Talant,town,11475.0,,47.3359617,5.0047641
Ambarès-et-Lagrave,town,13270.0,Q243586,44.9259011,-0.4881846
Les Lilas,town,22228.0,Q256004,48.8795658,2.415796
Morangis,town,12456.0,,48.7022956,2.3367599
Draveil,town,28491.0,Q242524,48.6787,2.4212
Kingersheim,town,12779.0,,47.7923002,7.3386856
Faches-Thumesnil,town,17407.0,Q640115,50.5936,3.07133
Deuil-la-Barre,town,21509.0,Q271654,48.9721,2.32738
Sanary-sur-Mer,town,16429.0,Q659484,43.1177238,5.8008839
Jarville-la-Malgrange,town,9385.0,,48.6735375,6.2023462
Castres,town,42314.0,Q188776,43.6036776,2.2417954
Port-de-Bouc,town,17216.0,Q675925,43.403098,4.9806998
Auxerre,town,35534.0,Q167600,47.7954001,3.58452
Tremblay-en-France,town,34493.0,Q242497,48.9802035,2.5589558
Alès,town,41000.0,Q193183,44.1253665,4.0852818
Limeil-Brévannes,town,19901.0,Q549536,48.7464991,2.4867977
Villemomble,town,28006.0,Q244716,48.8847875,2.5105095
Saintes,town,25900.0,Q191126,45.7420801,-0.6299329
Montesson,town,15193.0,Q830293,48.9076421,2.1492681
Hautmont,town,14239.0,,50.2513704,3.9200611
Les Pavillons-sous-Bois,town,21746.0,Q498043,48.9082988,2.5034999
Villeneuve-le-Roi,town,18479.0,Q669715,48.7349054,2.4179723
Montigny-le-Bretonneux,town,33337.0,Q240798,48.7759215,2.0249424
Vaires-sur-Marne,town,12293.0,,48.8707017,2.6333854
Ostwald,town,11310.0,,48.5425109,7.7102193
Rognac,town,11770.0,Q675965,43.4872341,5.2342903
Bron,town,39232.0,Q1291,45.7337532,4.9092352
Persan,town,10498.0,,49.1485881,2.2675077
Argentan,town,14369.0,,48.7428859,-0.0223695
La Rochelle,town,75170.0,Q82185,46.1591126,-1.1520434
Bouc-Bel-Air,town,13679.0,,43.4511819,5.4127848
Lorient,town,57204.0,Q71724,47.7477336,-3.3660907
Décines-Charpieu,town,25562.0,Q1056120,45.773606,4.9633314
Vaulx-en-Velin,town,43394.0,Q13596,45.7784255,4.9206153
Arles,town,52661.0,Q48292,43.6776223,4.6309653
Sainte-Foy-lès-Lyon,town,21742.0,Q387460,45.7362255,4.7934767
Miramas,town,25368.0,Q235865,43.582733,5.0025809
Rumilly,town,13497.0,,45.8676254,5.9428591
Bois-Colombes,town,29284.0,Q212566,48.9148269,2.2674892
La Garenne-Colombes,town,27700.0,Q236658,48.9069349,2.2465748
Hem,town,17369.0,Q1047719,50.6540895,3.1839429
Fontaine,town,22243.0,Q838235,45.1950183,5.6869624
Montmorency,town,21194.0,Q316891,48.9891693,2.3197111
Cernay,town,11268.0,,47.8071991,7.1767542
Rosny-sous-Bois,town,41050.0,Q275547,48.8761957,2.4856366
Blagnac,town,21710.0,Q271068,43.6434,1.37799
Châtillon,town,32619.0,Q212947,48.7997756,2.2897124
Sarreguemines,town,21540.0,Q22642,49.1094836,7.0708865
Givors,town,19118.0,Q1976,45.5844238,4.7696529
Fontenay-le-Fleury,town,12732.0,,48.8106578,2.0461549
Plaisance-du-Touch,town,16091.0,Q608231,43.5653012,1.2978343
Lunel,town,25310.0,Q318082,43.6745265,4.1348062
Villers-lès-Nancy,town,14341.0,,48.6731344,6.1536378
Sannois,town,26090.0,Q259216,48.9735001,2.25226
Castelnau-le-Lez,town,18233.0,Q474555,43.6393171,3.9133311
Isbergues,town,9289.0,,50.6211244,2.4574631
Saint-Brice-sous-Forêt,town,14320.0,,49.0030509,2.3548273
Le Creusot,town,22783.0,Q329664,46.808203,4.4297028
Cosne-Cours-sur-Loire,town,10551.0,Q476253,47.4115613,2.9273937
Longuenesse,town,10925.0,,50.7371,2.24833
Tassin-la-Demi-Lune,town,19511.0,Q1647506,45.7598386,4.7657747
Yvetot,town,11816.0,,49.6179384,0.7538866
Vitry-sur-Seine,town,85413.0,Q72248,48.7876,2.39164
Neuilly-sur-Seine,town,61754.0,Q48958,48.884683,2.2695658
Tinqueux,town,10300.0,,49.2479,3.98601
Sallanches,town,16050.0,,45.9361246,6.6302551
Meudon,town,45058.0,Q234735,48.8126688,2.2385432
Thiers,town,11250.0,,45.855795,3.5489707
Creutzwald,town,13483.0,,49.19959,6.6893987
Harnes,town,12373.0,,50.44741,2.9068246
Lattes,town,16020.0,Q193895,43.5653993,3.9017114
Poitiers,city,87435.0,Q6616,46.5802596,0.340196
Saint-Saulve,town,10983.0,,50.3725758,3.5610495
Vierzon,town,27081.0,Q208538,47.2217489,2.0691421
Joinville-le-Pont,town,17802.0,Q609134,48.8183717,2.4668077
Fréjus,town,51839.0,Q215155,43.4330308,6.7360182
Mayenne,town,13226.0,Q213513,48.3044218,-0.6179871
Noisy-le-Grand,town,62964.0,Q207605,48.8493972,2.5519571
Châteaurenard,town,14928.0,,43.8820448,4.85568
Bressuire,town,18764.0,Q210760,46.8425572,-0.4929017
Wasquehal,town,20046.0,Q681563,50.6691577,3.1312447
Saint-Cyr-l'École,town,17401.0,Q112683,48.799708,2.0672138
Audincourt,town,14825.0,,47.4819786,6.8413684
Saint-Dizier,town,30836.0,Q208310,48.6371125,4.9473513
Gravelines,town,11516.0,,50.9870697,2.1273118
Roncq,town,12848.0,,50.7531232,3.1209016
Oignies,town,9877.0,,50.4643,2.99387
Aubergenville,town,12020.0,,48.9591392,1.8554319
Bourg-la-Reine,town,19985.0,Q249852,48.7795178,2.316085
Wittenheim,town,14194.0,,47.8080799,7.3373681
Cluses,town,17408.0,Q654153,46.0603171,6.5804218
Annemasse,town,32196.0,Q212901,46.1934005,6.2341093
Langres,town,8082.0,Q203293,47.8655638,5.3314162
La Celle-Saint-Cloud,town,20971.0,Q367553,48.8478012,2.1441863
Marmande,town,18400.0,Q210742,44.5007939,0.164274
Dole,town,24629.0,Q205586,47.0921047,5.4925463
Malakoff,town,30982.0,Q253721,48.8174048,2.2971588
Saint-Mandé,town,22396.0,Q18102,48.8419182,2.4172278
Le Bourget,town,14864.0,,48.9351403,2.4258354
Ploufragan,town,11376.0,Q225204,48.4913857,-2.7934447
Vandœuvre-lès-Nancy,town,30974.0,Q320308,48.6599676,6.1724618
Mantes-la-Ville,town,19100.0,Q760624,48.9748938,1.7109449
Fougères,town,19820.0,Q4043,48.3536781,-1.2022211
Massy,town,42258.0,Q274249,48.7282317,2.2735978
Gap,town,39744.0,Q175081,44.5611978,6.0820018
Dieppe,town,31963.0,Q183557,49.9246182,1.0791444
Montceau-les-Mines,town,19372.0,Q457728,46.6740455,4.3631681
Mandelieu-la-Napoule,town,22203.0,Q239317,43.5439153,6.9359135
Évreux,town,50537.0,Q171800,49.0183639,1.1375865
Herblay,town,26016.0,Q318078,49.0045001,2.1481799
Douchy-les-Mines,town,10425.0,,50.2988884,3.3909158
Carcassonne,town,47419.0,Q6582,43.2130358,2.3491069
Houilles,town,31557.0,Q273930,48.926,2.18709
Le Plessis-Trévise,town,19194.0,Q259352,48.8071041,2.5745692
Sète,town,44830.0,Q191141,43.4017377,3.6941845
Mende,town,12140.0,Q191772,44.5180226,3.4991057
Calais,city,73636.0,Q6454,50.9488,1.87468
Saint-Laurent-du-Var,town,29963.0,Q217755,43.6690101,7.1906969
Rezé,town,40769.0,Q326453,47.1905456,-1.5695287
Condé-sur-l'Escaut,town,9731.0,,50.451747,3.5899406
Limay,town,16302.0,Q526378,48.9937522,1.7368795
Woippy,town,13046.0,,49.1515848,6.1519224
Agde,town,25695.0,Q191396,43.3126647,3.4718381
Quimperlé,town,11776.0,,47.8690062,-3.5516222
Saint-Jean-de-la-Ruelle,town,16631.0,Q1423260,47.9098024,1.8717431
Courbevoie,town,87469.0,Q189715,48.8953328,2.2561602
