country_code,country,parking,place_of_worship,school,bench,restaurant,fuel,cafe,fast_food,bank,waste_basket,post_box,pharmacy,bicycle_parking,toilets,kindergarten,recycling,shelter,grave_yard,drinking_water,post_office,pub,bar,hospital,atm,parking_space,police,hunting_stand,vending_machine,telephone,townhall,fire_station,fountain,public_building,doctors,community_centre,library,clinic,social_facility,car_wash,dentist,waste_disposal,marketplace,bus_station,university,college,parking_entrance,swimming_pool,theatre,taxi,veterinary
BE,Belgium,33209,6644,5936,15257,7549,2414,2496,3441,2529,9439,3279,2514,4393,656,423,4235,11590,687,360,555,4154,971,338,444,1586,730,329,1490,167,750,307,654,507,716,1067,636,65,616,404,253,80,124,79,520,248,430,408,333,79,370
BG,Bulgaria,4978,1964,1686,372,2828,1437,1353,710,925,72,35,901,69,209,908,57,341,155,3171,883,145,511,538,536,83,228,15,44,121,527,94,297,361,148,210,242,142,58,273,122,68,182,222,162,51,56,84,121,193,81
CZ,Czech Republic,29815,8010,3768,14759,10271,2580,2057,2069,1291,2424,9286,1638,2469,1216,1923,7228,5250,1023,824,3259,4225,1376,444,2148,485,762,2695,814,2401,2000,1184,1131,117,568,258,781,206,246,413,198,335,98,444,280,487,352,118,374,65,290
DK,Denmark,32094,2620,2249,4168,2840,1810,3067,6780,682,1122,1667,273,2821,1913,882,1121,1281,838,456,196,540,612,203,437,1788,104,55,198,138,106,157,276,100,132,342,312,98,1776,249,90,100,49,219,181,126,263,18,178,131,65
DE,Germany,403687,62159,38465,333044,94386,17898,28377,31867,25452,61599,63865,19168,52906,17300,33597,65313,44536,7180,4346,9513,18729,6149,3253,9592,23299,3661,68240,48799,23086,7650,22726,16113,9119,20548,7326,4761,762,10582,6652,8909,2054,1494,1842,2624,1188,8359,120,2596,4054,3417
EE,Estonia,3923,310,392,824,583,403,440,199,100,130,209,232,99,316,274,230,64,37,27,116,154,142,59,351,30,57,7,40,2,57,52,75,79,36,54,98,20,15,72,21,63,42,49,27,17,16,18,49,78,30
IE,Ireland,12272,2696,2609,1996,2137,1425,1667,1643,722,1177,1109,985,1058,604,281,716,321,1721,56,639,3240,410,213,555,287,355,2,388,284,110,178,156,115,375,363,282,146,195,216,204,19,48,42,90,159,340,0,110,161,134
GR,Greece,7860,13027,3479,4930,9260,3569,6146,2050,1488,953,386,2738,223,737,487,438,559,2010,1302,447,313,1987,375,879,104,336,2,64,1385,315,133,557,313,264,143,169,137,158,173,80,610,92,364,183,43,209,293,432,524,98
ES,Spain,48972,25830,17288,29111,35786,10663,12641,4181,11898,8352,2953,11725,5272,2600,2434,16502,1495,2316,19591,1944,5477,19148,1088,1907,1889,2973,1823,1304,3028,4446,726,6303,3101,883,2457,2181,4303,1590,1314,1341,6069,1213,736,1301,1090,3536,2235,1431,1991,965
FR,France,197125,53978,42258,64628,54657,11754,10376,13090,15146,34061,24270,16852,29825,14992,7787,37582,12050,4704,8765,11817,3442,12146,2859,6378,25681,4522,1219,8298,5764,23796,3611,10743,5170,5128,8912,4774,497,3866,3421,1207,3468,2095,890,1694,1659,2981,9690,2124,1027,1835
