country_code,value,total,areas,nodes,ways,relations
AT,parking,51325,0,4950,45492,883
AT,place_of_worship,11490,0,2532,8906,52
AT,school,4561,0,1593,2797,171
AT,bench,34790,0,34552,238,0
AT,restaurant,17857,0,11618,6084,155
AT,fuel,2761,0,1652,1107,2
AT,cafe,4704,0,4089,607,8
AT,fast_food,2670,0,1900,770,0
AT,bank,3475,0,2698,773,4
AT,waste_basket,7759,0,7754,5,0
AT,post_box,3055,0,3053,2,0
AT,pharmacy,1377,0,1199,178,0
AT,bicycle_parking,5575,0,4967,606,2
AT,toilets,2956,0,2384,572,0
AT,kindergarten,2614,0,1259,1341,14
AT,recycling,7548,0,6750,793,5
AT,shelter,3185,0,1426,1758,1
AT,grave_yard,716,0,49,614,53
AT,drinking_water,3550,0,3539,11,0
AT,post_office,1685,0,1557,127,1
AT,pub,1450,0,1220,230,0
AT,bar,1631,0,1400,229,2
AT,hospital,219,0,41,153,25
AT,atm,1494,0,1492,2,0
AT,parking_space,23962,0,145,23792,25
AT,police,864,0,673,185,6
AT,hunting_stand,10362,0,10328,34,0
AT,vending_machine,4155,0,4152,3,0
AT,telephone,3321,0,3315,6,0
AT,townhall,1792,0,1144,625,23
AT,fire_station,3203,0,1259,1938,6
AT,fountain,1577,0,1223,351,3
AT,public_building,876,0,151,697,28
AT,doctors,4994,0,4598,396,0
AT,community_centre,535,0,233,299,3
AT,library,601,0,534,65,2
AT,clinic,94,0,31,59,4
AT,social_facility,593,0,274,297,22
AT,car_wash,776,0,394,381,1
AT,dentist,1151,0,1070,81,0
AT,waste_disposal,228,0,179,49,0
AT,marketplace,125,0,61,60,4
AT,bus_station,219,0,162,57,0
AT,university,370,0,95,242,33
AT,college,63,0,27,29,7
AT,parking_entrance,1336,0,1323,13,0
AT,swimming_pool,506,0,86,420,0
AT,theatre,317,0,203,111,3
AT,taxi,391,0,357,34,0
AT,veterinary,506,0,390,111,5
