country_code,value,total,areas,nodes,ways,relations
BE,parking,33209,0,2330,30741,138
BE,place_of_worship,6644,0,1807,4813,24
BE,school,5936,0,1236,4575,125
BE,bench,15257,0,14512,745,0
BE,restaurant,7549,0,5645,1892,12
BE,fuel,2414,0,1641,769,4
BE,cafe,2496,0,1871,623,2
BE,fast_food,3441,0,2591,849,1
BE,bank,2529,0,2041,485,3
BE,waste_basket,9439,0,9432,7,0
BE,post_box,3279,0,3279,0,0
BE,pharmacy,2514,0,2039,472,3
BE,bicycle_parking,4393,0,3445,947,1
BE,toilets,656,0,518,137,1
BE,kindergarten,423,0,212,203,8
BE,recycling,4235,0,3846,388,1
BE,shelter,11590,0,483,11107,0
BE,grave_yard,687,0,31,624,32
BE,drinking_water,360,0,360,0,0
BE,post_office,555,0,393,161,1
BE,pub,4154,0,3002,1149,3
BE,bar,971,0,702,269,0
BE,hospital,338,0,88,231,19
BE,atm,444,0,443,1,0
BE,parking_space,1586,0,91,1495,0
BE,police,730,0,506,221,3
BE,hunting_stand,329,0,325,4,0
BE,vending_machine,1490,0,1485,5,0
BE,telephone,167,0,167,0,0
BE,townhall,750,0,333,406,11
BE,fire_station,307,0,121,185,1
BE,fountain,654,0,491,163,0
BE,public_building,507,0,27,467,13
BE,doctors,716,0,534,182,0
BE,community_centre,1067,0,214,846,7
BE,library,636,0,401,231,4
BE,clinic,65,0,36,29,0
BE,social_facility,616,0,187,389,40
BE,car_wash,404,0,241,163,0
BE,dentist,253,0,193,60,0
BE,waste_disposal,80,0,74,6,0
BE,marketplace,124,0,67,57,0
BE,bus_station,79,0,21,58,0
BE,university,520,0,49,448,23
BE,college,248,0,35,206,7
BE,parking_entrance,430,0,424,6,0
BE,swimming_pool,408,0,60,347,1
BE,theatre,333,0,174,157,2
BE,taxi,79,0,67,12,0
BE,veterinary,370,0,272,98,0
