country_code,value,total,areas,nodes,ways,relations
BG,parking,4978,0,1154,3812,12
BG,place_of_worship,1964,0,502,1458,4
BG,school,1686,0,206,1463,17
BG,bench,372,0,349,23,0
BG,restaurant,2828,0,2157,670,1
BG,fuel,1437,0,1041,388,8
BG,cafe,1353,0,1207,146,0
BG,fast_food,710,0,668,42,0
BG,bank,925,0,843,81,1
BG,waste_basket,72,0,72,0,0
BG,post_box,35,0,35,0,0
BG,pharmacy,901,0,867,34,0
BG,bicycle_parking,69,0,69,0,0
BG,toilets,209,0,164,45,0
BG,kindergarten,908,0,130,759,19
BG,recycling,57,0,52,5,0
BG,shelter,341,0,278,63,0
BG,grave_yard,155,0,13,142,0
BG,drinking_water,3171,0,3168,3,0
BG,post_office,883,0,701,173,9
BG,pub,145,0,124,21,0
BG,bar,511,0,452,59,0
BG,hospital,538,0,204,321,13
BG,atm,536,0,536,0,0
BG,parking_space,83,0,31,52,0
BG,police,228,0,117,107,4
BG,hunting_stand,15,0,15,0,0
BG,vending_machine,44,0,44,0,0
BG,telephone,121,0,121,0,0
BG,townhall,527,0,149,376,2
BG,fire_station,94,0,38,55,1
BG,fountain,297,0,163,131,3
BG,public_building,361,0,7,350,4
BG,doctors,148,0,111,37,0
BG,community_centre,210,0,69,137,4
BG,library,242,0,80,158,4
BG,clinic,142,0,66,71,5
BG,social_facility,58,0,10,46,2
BG,car_wash,273,0,198,75,0
BG,dentist,122,0,117,5,0
BG,waste_disposal,68,0,68,0,0
BG,marketplace,182,0,36,145,1
BG,bus_station,222,0,129,91,2
BG,university,162,0,26,124,12
BG,college,51,0,9,42,0
BG,parking_entrance,56,0,56,0,0
BG,swimming_pool,84,0,15,69,0
BG,theatre,121,0,62,57,2
BG,taxi,193,0,182,11,0
BG,veterinary,81,0,62,19,0
