country_code,value,total,areas,nodes,ways,relations
CH,parking,37177,0,5734,31201,242
CH,place_of_worship,5466,0,1328,4112,26
CH,school,5271,0,1187,3923,161
CH,bench,28975,0,28813,161,1
CH,restaurant,14503,0,11503,2988,12
CH,fuel,3287,0,2574,710,3
CH,cafe,2391,0,2209,181,1
CH,fast_food,1717,0,1549,167,1
CH,bank,2036,0,1745,288,3
CH,waste_basket,6956,0,6953,3,0
CH,post_box,5072,0,5070,2,0
CH,pharmacy,1344,0,1277,67,0
CH,bicycle_parking,3718,0,2113,1601,4
CH,toilets,3026,0,2685,340,1
CH,kindergarten,1803,0,952,848,3
CH,recycling,3797,0,3408,388,1
CH,shelter,2516,0,741,1767,8
CH,grave_yard,539,0,53,468,18
CH,drinking_water,7194,0,7182,12,0
CH,post_office,1602,0,1373,228,1
CH,pub,720,0,672,48,0
CH,bar,1636,0,1526,110,0
CH,hospital,439,0,131,280,28
CH,atm,1902,0,1898,4,0
CH,parking_space,500,0,123,375,2
CH,police,510,0,404,104,2
CH,hunting_stand,312,0,301,11,0
CH,vending_machine,5468,0,5465,3,0
CH,telephone,1274,0,1271,3,0
CH,townhall,852,0,398,442,12
CH,fire_station,932,0,597,333,2
CH,fountain,3684,0,3292,370,22
CH,public_building,600,0,76,518,6
CH,doctors,701,0,624,77,0
CH,community_centre,308,0,132,172,4
CH,library,765,0,652,111,2
CH,clinic,89,0,59,28,2
CH,social_facility,565,0,247,306,12
CH,car_wash,559,0,363,196,0
CH,dentist,300,0,279,21,0
CH,waste_disposal,409,0,395,14,0
CH,marketplace,73,0,50,23,0
CH,bus_station,228,0,189,39,0
CH,university,232,0,65,146,21
CH,college,242,0,76,151,15
CH,parking_entrance,2889,0,2872,17,0
CH,swimming_pool,458,0,87,371,0
CH,theatre,336,0,250,84,2
CH,taxi,187,0,157,30,0
CH,veterinary,221,0,172,48,1
