country_code,value,total,areas,nodes,ways,relations
CY,parking,1823,0,366,1440,17
CY,place_of_worship,909,0,486,422,1
CY,school,500,0,170,321,9
CY,bench,736,0,736,0,0
CY,restaurant,1497,0,1276,219,2
CY,fuel,362,0,176,185,1
CY,cafe,683,0,623,59,1
CY,fast_food,195,0,183,12,0
CY,bank,354,0,290,64,0
CY,waste_basket,161,0,161,0,0
CY,post_box,95,0,95,0,0
CY,pharmacy,416,0,402,14,0
CY,bicycle_parking,21,0,17,4,0
CY,toilets,204,0,181,23,0
CY,kindergarten,48,0,31,17,0
CY,recycling,33,0,32,1,0
CY,shelter,52,0,40,12,0
CY,grave_yard,40,0,11,29,0
CY,drinking_water,86,0,86,0,0
CY,post_office,72,0,63,9,0
CY,pub,155,0,138,17,0
CY,bar,246,0,211,35,0
CY,hospital,91,0,54,37,0
CY,atm,125,0,125,0,0
CY,parking_space,43,0,3,40,0
CY,police,54,0,35,19,0
CY,hunting_stand,28,0,28,0,0
CY,vending_machine,13,0,13,0,0
CY,telephone,80,0,80,0,0
CY,townhall,41,0,18,23,0
CY,fire_station,25,0,12,12,1
CY,fountain,46,0,24,22,0
CY,public_building,36,0,4,32,0
CY,doctors,51,0,49,2,0
CY,community_centre,25,0,23,2,0
CY,library,19,0,9,10,0
CY,clinic,58,0,43,15,0
CY,social_facility,6,0,0,6,0
CY,car_wash,68,0,40,28,0
CY,dentist,42,0,40,2,0
CY,waste_disposal,70,0,70,0,0
CY,marketplace,45,0,28,17,0
CY,bus_station,53,0,44,9,0
CY,university,54,0,14,39,1
CY,college,25,0,5,20,0
CY,parking_entrance,37,0,37,0,0
CY,swimming_pool,29,0,7,22,0
CY,theatre,37,0,19,18,0
CY,taxi,62,0,59,3,0
CY,veterinary,25,0,20,5,0
