country_code,value,total,areas,nodes,ways,relations
CZ,parking,29815,0,2891,26790,134
CZ,place_of_worship,8010,0,1657,6307,46
CZ,school,3768,0,1391,2278,99
CZ,bench,14759,0,14633,126,0
CZ,restaurant,10271,0,8924,1340,7
CZ,fuel,2580,0,1960,618,2
CZ,cafe,2057,0,1976,80,1
CZ,fast_food,2069,0,1835,232,2
CZ,bank,1291,0,1162,126,3
CZ,waste_basket,2424,0,2424,0,0
CZ,post_box,9286,0,9286,0,0
CZ,pharmacy,1638,0,1521,117,0
CZ,bicycle_parking,2469,0,2438,30,1
CZ,toilets,1216,0,1081,135,0
CZ,kindergarten,1923,0,800,1112,11
CZ,recycling,7228,0,6995,231,2
CZ,shelter,5250,0,4009,1237,4
CZ,grave_yard,1023,0,51,827,145
CZ,drinking_water,824,0,822,2,0
CZ,post_office,3259,0,3240,18,1
CZ,pub,4225,0,3727,496,2
CZ,bar,1376,0,1321,54,1
CZ,hospital,444,0,175,250,19
CZ,atm,2148,0,2148,0,0
CZ,parking_space,485,0,337,148,0
CZ,police,762,0,567,193,2
CZ,hunting_stand,2695,0,2694,1,0
CZ,vending_machine,814,0,814,0,0
CZ,telephone,2401,0,2400,1,0
CZ,townhall,2000,0,1216,765,19
CZ,fire_station,1184,0,764,416,4
CZ,fountain,1131,0,726,400,5
CZ,public_building,117,0,11,100,6
CZ,doctors,568,0,434,129,5
CZ,community_centre,258,0,142,113,3
CZ,library,781,0,665,111,5
CZ,clinic,206,0,126,77,3
CZ,social_facility,246,0,106,139,1
CZ,car_wash,413,0,286,125,2
CZ,dentist,198,0,177,21,0
CZ,waste_disposal,335,0,302,33,0
CZ,marketplace,98,0,53,44,1
CZ,bus_station,444,0,268,172,4
CZ,university,280,0,66,178,36
CZ,college,487,0,134,338,15
CZ,parking_entrance,352,0,351,0,1
CZ,swimming_pool,118,0,69,49,0
CZ,theatre,374,0,247,122,5
CZ,taxi,65,0,63,2,0
CZ,veterinary,290,0,233,57,0
