country_code,value,total,areas,nodes,ways,relations
DE,parking,403687,0,57489,344329,1869
DE,place_of_worship,62159,0,14235,47686,238
DE,school,38465,0,8260,29063,1142
DE,bench,333044,0,331190,1845,9
DE,restaurant,94386,0,72753,21551,82
DE,fuel,17898,0,11523,6339,36
DE,cafe,28377,0,24804,3557,16
DE,fast_food,31867,0,26465,5392,10
DE,bank,25452,0,20095,5308,49
DE,waste_basket,61599,0,61580,16,3
DE,post_box,63865,0,63855,10,0
DE,pharmacy,19168,0,17496,1666,6
DE,bicycle_parking,52906,0,42425,10443,38
DE,toilets,17300,0,13814,3481,5
DE,kindergarten,33597,0,12566,20804,227
DE,recycling,65313,0,62205,3070,38
DE,shelter,44536,0,27519,16995,22
DE,grave_yard,7180,0,1054,5999,127
DE,drinking_water,4346,0,4316,30,0
DE,post_office,9513,0,8729,775,9
DE,pub,18729,0,15849,2864,16
DE,bar,6149,0,5624,524,1
DE,hospital,3253,0,701,2293,259
DE,atm,9592,0,9523,69,0
DE,parking_space,23299,0,1485,21797,17
DE,police,3661,0,2109,1506,46
DE,hunting_stand,68240,0,68192,48,0
DE,vending_machine,48799,0,48723,69,7
DE,telephone,23086,0,23076,10,0
DE,townhall,7650,0,2816,4712,122
DE,fire_station,22726,0,10060,12612,54
DE,fountain,16113,0,13925,2166,22
DE,public_building,9119,0,1681,7287,151
DE,doctors,20548,0,18138,2390,20
DE,community_centre,7326,0,2327,4951,48
DE,library,4761,0,3655,1063,43
DE,clinic,762,0,332,401,29
DE,social_facility,10582,0,4196,6167,219
DE,car_wash,6652,0,3336,3311,5
DE,dentist,8909,0,7886,1019,4
DE,waste_disposal,2054,0,1692,361,1
DE,marketplace,1494,0,898,563,33
DE,bus_station,1842,0,1207,614,21
DE,university,2624,0,658,1801,165
DE,college,1188,0,488,655,45
DE,parking_entrance,8359,0,8143,216,0
DE,swimming_pool,120,0,42,78,0
DE,theatre,2596,0,1528,1043,25
DE,taxi,4054,0,3685,369,0
DE,veterinary,3417,0,2649,767,1
