country_code,value,total,areas,nodes,ways,relations
EE,parking,3923,0,729,3171,23
EE,place_of_worship,310,0,71,239,0
EE,school,392,0,145,242,5
EE,bench,824,0,757,67,0
EE,restaurant,583,0,530,53,0
EE,fuel,403,0,301,102,0
EE,cafe,440,0,400,40,0
EE,fast_food,199,0,162,37,0
EE,bank,100,0,90,10,0
EE,waste_basket,130,0,130,0,0
EE,post_box,209,0,209,0,0
EE,pharmacy,232,0,221,11,0
EE,bicycle_parking,99,0,91,8,0
EE,toilets,316,0,296,20,0
EE,kindergarten,274,0,69,204,1
EE,recycling,230,0,208,22,0
EE,shelter,64,0,43,21,0
EE,grave_yard,37,0,11,26,0
EE,drinking_water,27,0,27,0,0
EE,post_office,116,0,101,15,0
EE,pub,154,0,128,26,0
EE,bar,142,0,135,7,0
EE,hospital,59,0,22,37,0
EE,atm,351,0,351,0,0
EE,parking_space,30,0,2,28,0
EE,police,57,0,46,11,0
EE,hunting_stand,7,0,7,0,0
EE,vending_machine,40,0,40,0,0
EE,telephone,2,0,2,0,0
EE,townhall,57,0,26,30,1
EE,fire_station,52,0,32,20,0
EE,fountain,75,0,61,14,0
EE,public_building,79,0,19,59,1
EE,doctors,36,0,25,11,0
EE,community_centre,54,0,20,33,1
EE,library,98,0,75,23,0
EE,clinic,20,0,11,9,0
EE,social_facility,15,0,4,11,0
EE,car_wash,72,0,64,8,0
EE,dentist,21,0,20,1,0
EE,waste_disposal,63,0,63,0,0
EE,marketplace,42,0,24,18,0
EE,bus_station,49,0,36,13,0
EE,university,27,0,8,18,1
EE,college,17,0,2,15,0
EE,parking_entrance,16,0,16,0,0
EE,swimming_pool,18,0,15,3,0
EE,theatre,49,0,37,11,1
EE,taxi,78,0,78,0,0
EE,veterinary,30,0,28,2,0
