country_code,value,total,areas,nodes,ways,relations
ES,parking,48972,0,8172,40230,570
ES,place_of_worship,25830,0,6409,18853,568
ES,school,17288,0,3986,12731,571
ES,bench,29111,0,28856,255,0
ES,restaurant,35786,0,31913,3842,31
ES,fuel,10663,0,8901,1737,25
ES,cafe,12641,0,11967,667,7
ES,fast_food,4181,0,3857,323,1
ES,bank,11898,0,11640,243,15
ES,waste_basket,8352,0,8350,2,0
ES,post_box,2953,0,2952,0,1
ES,pharmacy,11725,0,11557,166,2
ES,bicycle_parking,5272,0,5208,62,2
ES,toilets,2600,0,2126,474,0
ES,kindergarten,2434,0,1457,920,57
ES,recycling,16502,0,15835,655,12
ES,shelter,1495,0,693,801,1
ES,grave_yard,2316,0,178,2099,39
ES,drinking_water,19591,0,19568,23,0
ES,post_office,1944,0,1709,227,8
ES,pub,5477,0,5276,197,4
ES,bar,19148,0,18143,1001,4
ES,hospital,1088,0,302,721,65
ES,atm,1907,0,1906,1,0
ES,parking_space,1889,0,398,1484,7
ES,police,2973,0,1334,1570,69
ES,hunting_stand,1823,0,1819,4,0
ES,vending_machine,1304,0,1303,1,0
ES,telephone,3028,0,3023,5,0
ES,townhall,4446,0,1732,2623,91
ES,fire_station,726,0,230,488,8
ES,fountain,6303,0,4084,2197,22
ES,public_building,3101,0,340,2661,100
ES,doctors,883,0,734,146,3
ES,community_centre,2457,0,790,1611,56
ES,library,2181,0,1293,852,36
ES,clinic,4303,0,1897,2330,76
ES,social_facility,1590,0,446,1092,52
ES,car_wash,1314,0,794,517,3
ES,dentist,1341,0,1321,17,3
ES,waste_disposal,6069,0,6036,33,0
ES,marketplace,1213,0,389,797,27
ES,bus_station,736,0,373,352,11
ES,university,1301,0,183,981,137
ES,college,1090,0,318,680,92
ES,parking_entrance,3536,0,3507,29,0
ES,swimming_pool,2235,0,270,1964,1
ES,theatre,1431,0,543,854,34
ES,taxi,1991,0,1915,76,0
ES,veterinary,965,0,917,48,0
