country_code,value,total,areas,nodes,ways,relations
FI,parking,33443,0,3340,29949,154
FI,place_of_worship,1456,0,503,949,4
FI,school,2784,0,672,2081,31
FI,bench,4507,0,4452,55,0
FI,restaurant,3683,0,3377,304,2
FI,fuel,2199,0,1863,333,3
FI,cafe,2190,0,1997,192,1
FI,fast_food,1687,0,1497,190,0
FI,bank,702,0,651,51,0
FI,waste_basket,3477,0,3473,4,0
FI,post_box,1765,0,1765,0,0
FI,pharmacy,579,0,563,16,0
FI,bicycle_parking,1723,0,1247,476,0
FI,toilets,1957,0,1754,203,0
FI,kindergarten,1250,0,470,777,3
FI,recycling,1792,0,1683,108,1
FI,shelter,2767,0,2144,622,1
FI,grave_yard,369,0,39,323,7
FI,drinking_water,250,0,248,2,0
FI,post_office,380,0,366,14,0
FI,pub,1190,0,1144,45,1
FI,bar,338,0,325,13,0
FI,hospital,446,0,160,275,11
FI,atm,842,0,842,0,0
FI,parking_space,244,0,18,226,0
FI,police,113,0,84,26,3
FI,hunting_stand,65,0,63,2,0
FI,vending_machine,820,0,820,0,0
FI,telephone,1,0,1,0,0
FI,townhall,189,0,72,113,4
FI,fire_station,431,0,204,225,2
FI,fountain,280,0,228,52,0
FI,public_building,444,0,27,417,0
FI,doctors,103,0,86,16,1
FI,community_centre,370,0,133,237,0
FI,library,590,0,401,186,3
FI,clinic,139,0,85,54,0
FI,social_facility,315,0,91,219,5
FI,car_wash,215,0,166,49,0
FI,dentist,154,0,146,8,0
FI,waste_disposal,634,0,436,198,0
FI,marketplace,162,0,36,120,6
FI,bus_station,191,0,141,49,1
FI,university,151,0,25,115,11
FI,college,147,0,36,111,0
FI,parking_entrance,212,0,210,2,0
FI,swimming_pool,103,0,42,61,0
FI,theatre,225,0,158,66,1
FI,taxi,443,0,425,18,0
FI,veterinary,115,0,103,12,0
