country_code,value,total,areas,nodes,ways,relations
FR,parking,197125,0,27317,168743,1065
FR,place_of_worship,53978,0,6116,47672,190
FR,school,42258,0,17411,24181,666
FR,bench,64628,0,63997,631,0
FR,restaurant,54657,0,44959,9613,85
FR,fuel,11754,0,7632,4104,18
FR,cafe,10376,0,9159,1210,7
FR,fast_food,13090,0,11021,2054,15
FR,bank,15146,0,12804,2304,38
FR,waste_basket,34061,0,34054,7,0
FR,post_box,24270,0,24261,9,0
FR,pharmacy,16852,0,14845,1996,11
FR,bicycle_parking,29825,0,28444,1376,5
FR,toilets,14992,0,11554,3431,7
FR,kindergarten,7787,0,3883,3830,74
FR,recycling,37582,0,35030,2537,15
FR,shelter,12050,0,5366,6674,10
FR,grave_yard,4704,0,270,4103,331
FR,drinking_water,8765,0,8719,46,0
FR,post_office,11817,0,8982,2811,24
FR,pub,3442,0,3090,351,1
FR,bar,12146,0,10676,1456,14
FR,hospital,2859,0,794,1899,166
FR,atm,6378,0,6358,20,0
FR,parking_space,25681,0,18326,7340,15
FR,police,4522,0,2456,2020,46
FR,hunting_stand,1219,0,1203,16,0
FR,vending_machine,8298,0,8239,59,0
FR,telephone,5764,0,5750,14,0
FR,townhall,23796,0,8824,14790,182
FR,fire_station,3611,0,1338,2242,31
FR,fountain,10743,0,8896,1837,10
FR,public_building,5170,0,1103,3917,150
FR,doctors,5128,0,4078,1039,11
FR,community_centre,8912,0,2571,6271,70
FR,library,4774,0,2905,1803,66
FR,clinic,497,0,241,233,23
FR,social_facility,3866,0,1462,2221,183
FR,car_wash,3421,0,1916,1480,25
FR,dentist,1207,0,990,217,0
FR,waste_disposal,3468,0,3298,169,1
FR,marketplace,2095,0,996,1068,31
FR,bus_station,890,0,499,386,5
FR,university,1694,0,250,1308,136
FR,college,1659,0,715,890,54
FR,parking_entrance,2981,0,2952,29,0
FR,swimming_pool,9690,0,320,9368,2
FR,theatre,2124,0,1122,984,18
FR,taxi,1027,0,940,87,0
FR,veterinary,1835,0,1328,506,1
