country_code,value,total,areas,nodes,ways,relations
GB,parking,135258,0,16030,118518,710
GB,place_of_worship,35663,0,11302,24247,114
GB,school,30633,0,1822,28086,725
GB,bench,43478,0,43191,283,4
GB,restaurant,23533,0,15924,7575,34
GB,fuel,7543,0,4571,2962,10
GB,cafe,21610,0,15784,5808,18
GB,fast_food,24796,0,17538,7244,14
GB,bank,6997,0,4680,2312,5
GB,waste_basket,14422,0,14421,0,1
GB,post_box,64580,0,64577,3,0
GB,pharmacy,6847,0,5240,1605,2
GB,bicycle_parking,22110,0,21185,924,1
GB,toilets,8344,0,6009,2332,3
GB,kindergarten,2772,0,1329,1438,5
GB,recycling,6837,0,6192,640,5
GB,shelter,2343,0,1036,1306,1
GB,grave_yard,9765,0,175,9316,274
GB,drinking_water,602,0,602,0,0
GB,post_office,8658,0,7251,1402,5
GB,pub,38008,0,23753,14202,53
GB,bar,3962,0,2892,1064,6
GB,hospital,2125,0,531,1489,105
GB,atm,8343,0,8338,5,0
GB,parking_space,1674,0,180,1493,1
GB,police,2097,0,984,1068,45
GB,hunting_stand,123,0,121,2,0
GB,vending_machine,1651,0,1646,5,0
GB,telephone,19501,0,19488,13,0
GB,townhall,1335,0,485,822,28
GB,fire_station,1924,0,752,1165,7
GB,fountain,1004,0,743,259,2
GB,public_building,2365,0,609,1718,38
GB,doctors,4155,0,1789,2318,48
GB,community_centre,5063,0,1224,3818,21
GB,library,3433,0,1568,1847,18
GB,clinic,1218,0,528,668,22
GB,social_facility,2469,0,607,1800,62
GB,car_wash,1629,0,769,857,3
GB,dentist,2680,0,1596,1083,1
GB,waste_disposal,355,0,304,51,0
GB,marketplace,526,0,208,315,3
GB,bus_station,614,0,239,368,7
GB,university,2403,0,117,2197,89
GB,college,1399,0,219,1127,53
GB,parking_entrance,536,0,524,12,0
GB,swimming_pool,1104,0,203,901,0
GB,theatre,1160,0,487,663,10
GB,taxi,1816,0,1519,295,2
GB,veterinary,1469,0,821,645,3
