country_code,value,total,areas,nodes,ways,relations
GR,parking,7860,0,2040,5778,42
GR,place_of_worship,13027,0,5505,7515,7
GR,school,3479,0,960,2479,40
GR,bench,4930,0,4902,28,0
GR,restaurant,9260,0,8288,964,8
GR,fuel,3569,0,3223,344,2
GR,cafe,6146,0,5731,415,0
GR,fast_food,2050,0,1978,71,1
GR,bank,1488,0,1327,158,3
GR,waste_basket,953,0,953,0,0
GR,post_box,386,0,386,0,0
GR,pharmacy,2738,0,2685,52,1
GR,bicycle_parking,223,0,220,3,0
GR,toilets,737,0,606,129,2
GR,kindergarten,487,0,291,194,2
GR,recycling,438,0,417,21,0
GR,shelter,559,0,230,328,1
GR,grave_yard,2010,0,112,1897,1
GR,drinking_water,1302,0,1295,7,0
GR,post_office,447,0,411,36,0
GR,pub,313,0,292,21,0
GR,bar,1987,0,1779,205,3
GR,hospital,375,0,163,202,10
GR,atm,879,0,877,2,0
GR,parking_space,104,0,35,69,0
GR,police,336,0,247,88,1
GR,hunting_stand,2,0,2,0,0
GR,vending_machine,64,0,64,0,0
GR,telephone,1385,0,1385,0,0
GR,townhall,315,0,165,149,1
GR,fire_station,133,0,82,50,1
GR,fountain,557,0,396,161,0
GR,public_building,313,0,59,244,10
GR,doctors,264,0,230,34,0
GR,community_centre,143,0,91,52,0
GR,library,169,0,107,60,2
GR,clinic,137,0,84,51,2
GR,social_facility,158,0,80,77,1
GR,car_wash,173,0,137,35,1
GR,dentist,80,0,80,0,0
GR,waste_disposal,610,0,604,6,0
GR,marketplace,92,0,53,36,3
GR,bus_station,364,0,255,107,2
GR,university,183,0,48,126,9
GR,college,43,0,9,34,0
GR,parking_entrance,209,0,207,2,0
GR,swimming_pool,293,0,27,266,0
GR,theatre,432,0,189,241,2
GR,taxi,524,0,498,26,0
GR,veterinary,98,0,94,4,0
