country_code,value,total,areas,nodes,ways,relations
HR,parking,7469,0,1547,5912,10
HR,place_of_worship,3164,0,955,2194,15
HR,school,1367,0,450,905,12
HR,bench,2658,0,2650,8,0
HR,restaurant,4054,0,3536,517,1
HR,fuel,861,0,350,510,1
HR,cafe,3744,0,3507,237,0
HR,fast_food,733,0,677,56,0
HR,bank,838,0,778,60,0
HR,waste_basket,978,0,978,0,0
HR,post_box,333,0,333,0,0
HR,pharmacy,724,0,689,35,0
HR,bicycle_parking,290,0,283,7,0
HR,toilets,732,0,607,125,0
HR,kindergarten,467,0,211,251,5
HR,recycling,584,0,548,36,0
HR,shelter,211,0,125,86,0
HR,grave_yard,396,0,64,332,0
HR,drinking_water,427,0,426,1,0
HR,post_office,868,0,616,251,1
HR,pub,342,0,324,18,0
HR,bar,1015,0,926,89,0
HR,hospital,315,0,152,156,7
HR,atm,1589,0,1588,1,0
HR,parking_space,206,0,21,185,0
HR,police,216,0,36,175,5
HR,hunting_stand,170,0,169,1,0
HR,vending_machine,146,0,145,1,0
HR,telephone,344,0,344,0,0
HR,townhall,213,0,122,90,1
HR,fire_station,320,0,192,127,1
HR,fountain,244,0,169,74,1
HR,public_building,235,0,58,174,3
HR,doctors,233,0,182,49,2
HR,community_centre,92,0,61,31,0
HR,library,150,0,119,30,1
HR,clinic,65,0,35,30,0
HR,social_facility,70,0,21,49,0
HR,car_wash,311,0,229,82,0
HR,dentist,148,0,135,13,0
HR,waste_disposal,252,0,250,2,0
HR,marketplace,194,0,88,105,1
HR,bus_station,208,0,130,78,0
HR,university,99,0,36,61,2
HR,college,53,0,25,27,1
HR,parking_entrance,87,0,86,1,0
HR,swimming_pool,67,0,15,52,0
HR,theatre,73,0,41,32,0
HR,taxi,117,0,109,8,0
HR,veterinary,122,0,90,32,0
