country_code,value,total,areas,nodes,ways,relations
HU,parking,13216,0,2074,10980,162
HU,place_of_worship,6574,0,1587,4956,31
HU,school,3019,0,1221,1709,89
HU,bench,7037,0,6956,81,0
HU,restaurant,5530,0,4695,831,4
HU,fuel,1737,0,1144,588,5
HU,cafe,2373,0,2264,109,0
HU,fast_food,3103,0,2844,258,1
HU,bank,1506,0,1324,179,3
HU,waste_basket,2612,0,2612,0,0
HU,post_box,889,0,889,0,0
HU,pharmacy,1727,0,1528,198,1
HU,bicycle_parking,2657,0,2576,80,1
HU,toilets,1193,0,1008,184,1
HU,kindergarten,1503,0,663,812,28
HU,recycling,2923,0,2845,77,1
HU,shelter,1211,0,1007,204,0
HU,grave_yard,169,0,33,129,7
HU,drinking_water,7976,0,7974,2,0
HU,post_office,1574,0,1257,315,2
HU,pub,7879,0,7330,549,0
HU,bar,488,0,442,46,0
HU,hospital,349,0,152,172,25
HU,atm,1334,0,1334,0,0
HU,parking_space,329,0,36,293,0
HU,police,465,0,284,169,12
HU,hunting_stand,9589,0,9577,12,0
HU,vending_machine,994,0,994,0,0
HU,telephone,1644,0,1643,1,0
HU,townhall,788,0,381,386,21
HU,fire_station,225,0,125,98,2
HU,fountain,672,0,553,118,1
HU,public_building,240,0,20,205,15
HU,doctors,1008,0,749,254,5
HU,community_centre,862,0,475,378,9
HU,library,555,0,388,160,7
HU,clinic,112,0,55,55,2
HU,social_facility,285,0,137,141,7
HU,car_wash,475,0,299,175,1
HU,dentist,340,0,294,46,0
HU,waste_disposal,107,0,106,1,0
HU,marketplace,442,0,177,251,14
HU,bus_station,275,0,166,105,4
HU,university,195,0,34,135,26
HU,college,70,0,11,55,4
HU,parking_entrance,162,0,161,1,0
HU,swimming_pool,106,0,32,74,0
HU,theatre,252,0,152,98,2
HU,taxi,143,0,125,18,0
HU,veterinary,250,0,205,45,0
