country_code,value,total,areas,nodes,ways,relations
IE,parking,12272,0,1187,10900,185
IE,place_of_worship,2696,0,653,2022,21
IE,school,2609,0,391,2041,177
IE,bench,1996,0,1971,25,0
IE,restaurant,2137,0,1787,348,2
IE,fuel,1425,0,992,426,7
IE,cafe,1667,0,1418,249,0
IE,fast_food,1643,0,1410,232,1
IE,bank,722,0,509,210,3
IE,waste_basket,1177,0,1177,0,0
IE,post_box,1109,0,1109,0,0
IE,pharmacy,985,0,850,134,1
IE,bicycle_parking,1058,0,1006,52,0
IE,toilets,604,0,475,129,0
IE,kindergarten,281,0,179,97,5
IE,recycling,716,0,653,61,2
IE,shelter,321,0,225,95,1
IE,grave_yard,1721,0,98,1518,105
IE,drinking_water,56,0,56,0,0
IE,post_office,639,0,557,79,3
IE,pub,3240,0,2417,816,7
IE,bar,410,0,340,69,1
IE,hospital,213,0,33,162,18
IE,atm,555,0,554,1,0
IE,parking_space,287,0,29,257,1
IE,police,355,0,173,178,4
IE,hunting_stand,2,0,1,1,0
IE,vending_machine,388,0,388,0,0
IE,telephone,284,0,284,0,0
IE,townhall,110,0,60,49,1
IE,fire_station,178,0,65,109,4
IE,fountain,156,0,115,41,0
IE,public_building,115,0,0,114,1
IE,doctors,375,0,257,113,5
IE,community_centre,363,0,110,241,12
IE,library,282,0,120,161,1
IE,clinic,146,0,76,66,4
IE,social_facility,195,0,58,123,14
IE,car_wash,216,0,174,42,0
IE,dentist,204,0,169,35,0
IE,waste_disposal,19,0,11,8,0
IE,marketplace,48,0,28,18,2
IE,bus_station,42,0,7,34,1
IE,university,90,0,12,69,9
IE,college,159,0,45,105,9
IE,parking_entrance,340,0,337,3,0
IE,swimming_pool,0,0,0,0,0
IE,theatre,110,0,60,50,0
IE,taxi,161,0,140,19,2
IE,veterinary,134,0,90,44,0
