country_code,value,total,areas,nodes,ways,relations
IS,parking,5135,0,532,4527,76
IS,place_of_worship,335,0,23,311,1
IS,school,206,0,38,166,2
IS,bench,1171,0,1169,2,0
IS,restaurant,364,0,324,40,0
IS,fuel,253,0,198,54,1
IS,cafe,196,0,174,22,0
IS,fast_food,253,0,236,17,0
IS,bank,72,0,64,8,0
IS,waste_basket,1300,0,1300,0,0
IS,post_box,207,0,207,0,0
IS,pharmacy,66,0,64,2,0
IS,bicycle_parking,136,0,122,14,0
IS,toilets,206,0,161,45,0
IS,kindergarten,198,0,25,172,1
IS,recycling,108,0,102,6,0
IS,shelter,128,0,115,13,0
IS,grave_yard,97,0,2,90,5
IS,drinking_water,40,0,40,0,0
IS,post_office,73,0,69,4,0
IS,pub,74,0,73,1,0
IS,bar,33,0,29,4,0
IS,hospital,35,0,17,18,0
IS,atm,57,0,57,0,0
IS,parking_space,554,0,1,553,0
IS,police,25,0,23,2,0
IS,hunting_stand,1,0,1,0,0
IS,vending_machine,31,0,31,0,0
IS,telephone,2,0,2,0,0
IS,townhall,20,0,12,8,0
IS,fire_station,37,0,29,8,0
IS,fountain,8,0,8,0,0
IS,public_building,17,0,4,13,0
IS,doctors,26,0,22,4,0
IS,community_centre,10,0,6,4,0
IS,library,26,0,21,5,0
IS,clinic,18,0,16,2,0
IS,social_facility,10,0,4,6,0
IS,car_wash,34,0,22,12,0
IS,dentist,26,0,26,0,0
IS,waste_disposal,68,0,67,1,0
IS,marketplace,3,0,2,1,0
IS,bus_station,14,0,5,9,0
IS,university,27,0,5,21,1
IS,college,10,0,2,8,0
IS,parking_entrance,11,0,11,0,0
IS,swimming_pool,0,0,0,0,0
IS,theatre,15,0,8,7,0
IS,taxi,12,0,12,0,0
IS,veterinary,4,0,3,1,0
