country_code,value,total,areas,nodes,ways,relations
IT,parking,159405,0,23672,134335,1398
IT,place_of_worship,50358,0,8048,41692,618
IT,school,17221,0,4004,12615,602
IT,bench,36178,0,35752,426,0
IT,restaurant,41280,0,34230,6994,56
IT,fuel,17763,0,14055,3668,40
IT,cafe,17935,0,16814,1114,7
IT,fast_food,6266,0,5798,466,2
IT,bank,10620,0,9808,786,26
IT,waste_basket,12685,0,12684,1,0
IT,post_box,3856,0,3854,2,0
IT,pharmacy,9604,0,9235,366,3
IT,bicycle_parking,4113,0,3703,405,5
IT,toilets,4242,0,3361,877,4
IT,kindergarten,3743,0,1400,2243,100
IT,recycling,10784,0,9458,1305,21
IT,shelter,4075,0,2507,1567,1
IT,grave_yard,2302,0,194,2054,54
IT,drinking_water,33817,0,33758,59,0
IT,post_office,6372,0,5039,1315,18
IT,pub,3328,0,3035,291,2
IT,bar,18827,0,16996,1824,7
IT,hospital,2540,0,998,1396,146
IT,atm,3241,0,3238,3,0
IT,parking_space,2400,0,230,2148,22
IT,police,4397,0,2422,1897,78
IT,hunting_stand,2535,0,2321,214,0
IT,vending_machine,4246,0,4229,17,0
IT,telephone,3646,0,3646,0,0
IT,townhall,5579,0,2159,3235,185
IT,fire_station,1093,0,584,499,10
IT,fountain,6704,0,4364,2309,31
IT,public_building,2282,0,286,1909,87
IT,doctors,1412,0,1203,201,8
IT,community_centre,1203,0,503,676,24
IT,library,2733,0,2005,690,38
IT,clinic,693,0,465,218,10
IT,social_facility,1106,0,440,617,49
IT,car_wash,2118,0,1382,728,8
IT,dentist,759,0,720,39,0
IT,waste_disposal,2168,0,2146,22,0
IT,marketplace,929,0,372,536,21
IT,bus_station,881,0,542,335,4
IT,university,1277,0,288,862,127
IT,college,433,0,108,294,31
IT,parking_entrance,1845,0,1836,9,0
IT,swimming_pool,1187,0,287,900,0
IT,theatre,1837,0,855,952,30
IT,taxi,752,0,696,55,1
IT,veterinary,826,0,769,56,1
