country_code,value,total,areas,nodes,ways,relations
LI,parking,294,0,22,272,0
LI,place_of_worship,22,0,1,21,0
LI,school,20,0,2,18,0
LI,bench,113,0,113,0,0
LI,restaurant,55,0,43,12,0
LI,fuel,16,0,11,5,0
LI,cafe,14,0,13,1,0
LI,fast_food,10,0,10,0,0
LI,bank,7,0,6,1,0
LI,waste_basket,33,0,33,0,0
LI,post_box,18,0,18,0,0
LI,pharmacy,5,0,5,0,0
LI,bicycle_parking,9,0,5,4,0
LI,toilets,17,0,14,3,0
LI,kindergarten,17,0,5,12,0
LI,recycling,6,0,3,3,0
LI,shelter,5,0,2,3,0
LI,grave_yard,4,0,0,4,0
LI,drinking_water,26,0,26,0,0
LI,post_office,11,0,7,4,0
LI,pub,3,0,3,0,0
LI,bar,8,0,7,1,0
LI,hospital,1,0,0,1,0
LI,atm,10,0,10,0,0
LI,parking_space,2,0,0,2,0
LI,police,4,0,3,1,0
LI,hunting_stand,0,0,0,0,0
LI,vending_machine,5,0,5,0,0
LI,telephone,6,0,6,0,0
LI,townhall,5,0,0,5,0
LI,fire_station,7,0,5,2,0
LI,fountain,16,0,16,0,0
LI,public_building,9,0,1,8,0
LI,doctors,10,0,9,1,0
LI,community_centre,0,0,0,0,0
LI,library,3,0,3,0,0
LI,clinic,0,0,0,0,0
LI,social_facility,0,0,0,0,0
LI,car_wash,3,0,2,1,0
LI,dentist,0,0,0,0,0
LI,waste_disposal,0,0,0,0,0
LI,marketplace,0,0,0,0,0
LI,bus_station,2,0,1,0,1
LI,university,5,0,1,4,0
LI,college,1,0,0,1,0
LI,parking_entrance,7,0,7,0,0
LI,swimming_pool,1,0,0,1,0
LI,theatre,2,0,2,0,0
LI,taxi,0,0,0,0,0
LI,veterinary,0,0,0,0,0
