country_code,value,total,areas,nodes,ways,relations
LT,parking,7762,0,561,7039,162
LT,place_of_worship,992,0,43,944,5
LT,school,980,0,45,818,117
LT,bench,1346,0,1346,0,0
LT,restaurant,1003,0,872,130,1
LT,fuel,692,0,145,546,1
LT,cafe,574,0,485,89,0
LT,fast_food,413,0,324,89,0
LT,bank,201,0,160,39,2
LT,waste_basket,360,0,360,0,0
LT,post_box,67,0,67,0,0
LT,pharmacy,558,0,546,12,0
LT,bicycle_parking,410,0,409,1,0
LT,toilets,333,0,283,50,0
LT,kindergarten,458,0,27,405,26
LT,recycling,1547,0,1518,29,0
LT,shelter,192,0,164,28,0
LT,grave_yard,33,0,7,20,6
LT,drinking_water,52,0,52,0,0
LT,post_office,239,0,186,53,0
LT,pub,159,0,147,12,0
LT,bar,207,0,186,21,0
LT,hospital,216,0,59,141,16
LT,atm,618,0,617,1,0
LT,parking_space,34,0,5,29,0
LT,police,137,0,67,69,1
LT,hunting_stand,14,0,14,0,0
LT,vending_machine,35,0,35,0,0
LT,telephone,57,0,57,0,0
LT,townhall,86,0,27,57,2
LT,fire_station,77,0,22,54,1
LT,fountain,116,0,76,40,0
LT,public_building,29,0,3,26,0
LT,doctors,90,0,58,31,1
LT,community_centre,80,0,30,49,1
LT,library,175,0,125,50,0
LT,clinic,94,0,42,49,3
LT,social_facility,23,0,5,17,1
LT,car_wash,189,0,106,83,0
LT,dentist,124,0,116,8,0
LT,waste_disposal,320,0,318,2,0
LT,marketplace,109,0,24,82,3
LT,bus_station,75,0,17,58,0
LT,university,102,0,11,81,10
LT,college,61,0,6,52,3
LT,parking_entrance,23,0,23,0,0
LT,swimming_pool,5,0,4,1,0
LT,theatre,48,0,22,23,3
LT,taxi,56,0,50,6,0
LT,veterinary,61,0,55,6,0
