country_code,value,total,areas,nodes,ways,relations
LU,parking,3667,0,364,3296,7
LU,place_of_worship,648,0,185,462,1
LU,school,369,0,66,294,9
LU,bench,4226,0,4186,40,0
LU,restaurant,1111,0,827,283,1
LU,fuel,251,0,152,99,0
LU,cafe,247,0,201,46,0
LU,fast_food,199,0,156,43,0
LU,bank,227,0,158,66,3
LU,waste_basket,1877,0,1876,1,0
LU,post_box,643,0,643,0,0
LU,pharmacy,99,0,81,18,0
LU,bicycle_parking,298,0,281,17,0
LU,toilets,152,0,131,21,0
LU,kindergarten,78,0,36,41,1
LU,recycling,173,0,151,22,0
LU,shelter,331,0,165,166,0
LU,grave_yard,229,0,2,226,1
LU,drinking_water,45,0,45,0,0
LU,post_office,86,0,63,22,1
LU,pub,437,0,341,96,0
LU,bar,84,0,53,31,0
LU,hospital,18,0,0,17,1
LU,atm,109,0,109,0,0
LU,parking_space,14,0,5,9,0
LU,police,68,0,62,6,0
LU,hunting_stand,422,0,420,2,0
LU,vending_machine,721,0,721,0,0
LU,telephone,190,0,190,0,0
LU,townhall,97,0,24,73,0
LU,fire_station,112,0,39,73,0
LU,fountain,119,0,101,18,0
LU,public_building,119,0,14,103,2
LU,doctors,62,0,50,12,0
LU,community_centre,59,0,13,45,1
LU,library,18,0,11,7,0
LU,clinic,5,0,4,1,0
LU,social_facility,89,0,41,45,3
LU,car_wash,43,0,30,13,0
LU,dentist,23,0,20,3,0
LU,waste_disposal,3,0,3,0,0
LU,marketplace,7,0,4,3,0
LU,bus_station,44,0,22,22,0
LU,university,10,0,1,9,0
LU,college,10,0,1,9,0
LU,parking_entrance,66,0,66,0,0
LU,swimming_pool,19,0,4,15,0
LU,theatre,19,0,12,7,0
LU,taxi,35,0,32,3,0
LU,veterinary,31,0,27,4,0
