country_code,value,total,areas,nodes,ways,relations
LV,parking,4856,0,710,4117,29
LV,place_of_worship,559,0,151,407,1
LV,school,710,0,181,515,14
LV,bench,1396,0,1372,24,0
LV,restaurant,587,0,522,63,2
LV,fuel,509,0,268,240,1
LV,cafe,690,0,615,75,0
LV,fast_food,224,0,199,25,0
LV,bank,213,0,198,15,0
LV,waste_basket,273,0,273,0,0
LV,post_box,162,0,162,0,0
LV,pharmacy,377,0,359,18,0
LV,bicycle_parking,238,0,224,14,0
LV,toilets,349,0,284,65,0
LV,kindergarten,409,0,87,307,15
LV,recycling,264,0,251,13,0
LV,shelter,249,0,70,179,0
LV,grave_yard,203,0,31,171,1
LV,drinking_water,55,0,55,0,0
LV,post_office,194,0,151,43,0
LV,pub,88,0,74,14,0
LV,bar,243,0,225,18,0
LV,hospital,132,0,49,75,8
LV,atm,668,0,667,1,0
LV,parking_space,67,0,3,64,0
LV,police,86,0,52,34,0
LV,hunting_stand,10,0,10,0,0
LV,vending_machine,107,0,107,0,0
LV,telephone,33,0,33,0,0
LV,townhall,100,0,55,45,0
LV,fire_station,53,0,18,34,1
LV,fountain,109,0,94,15,0
LV,public_building,265,0,21,244,0
LV,doctors,103,0,81,21,1
LV,community_centre,72,0,38,33,1
LV,library,160,0,124,36,0
LV,clinic,38,0,23,14,1
LV,social_facility,27,0,8,19,0
LV,car_wash,169,0,111,58,0
LV,dentist,99,0,94,5,0
LV,waste_disposal,161,0,161,0,0
LV,marketplace,96,0,25,71,0
LV,bus_station,57,0,28,29,0
LV,university,89,0,19,61,9
LV,college,30,0,10,20,0
LV,parking_entrance,37,0,36,1,0
LV,swimming_pool,12,0,7,5,0
LV,theatre,52,0,28,24,0
LV,taxi,53,0,49,4,0
LV,veterinary,60,0,54,6,0
