country_code,value,total,areas,nodes,ways,relations
MT,parking,599,0,68,530,1
MT,place_of_worship,352,0,81,267,4
MT,school,167,0,37,118,12
MT,bench,419,0,419,0,0
MT,restaurant,521,0,489,32,0
MT,fuel,67,0,55,12,0
MT,cafe,123,0,115,8,0
MT,fast_food,138,0,134,4,0
MT,bank,70,0,66,4,0
MT,waste_basket,38,0,38,0,0
MT,post_box,122,0,122,0,0
MT,pharmacy,95,0,94,1,0
MT,bicycle_parking,21,0,21,0,0
MT,toilets,100,0,87,13,0
MT,kindergarten,2,0,2,0,0
MT,recycling,130,0,122,8,0
MT,shelter,11,0,3,8,0
MT,grave_yard,6,0,1,5,0
MT,drinking_water,5,0,5,0,0
MT,post_office,43,0,39,4,0
MT,pub,46,0,43,3,0
MT,bar,123,0,119,4,0
MT,hospital,19,0,14,5,0
MT,atm,65,0,65,0,0
MT,parking_space,6,0,2,4,0
MT,police,54,0,49,5,0
MT,hunting_stand,1,0,1,0,0
MT,vending_machine,4,0,4,0,0
MT,telephone,65,0,65,0,0
MT,townhall,11,0,11,0,0
MT,fire_station,8,0,3,5,0
MT,fountain,36,0,15,21,0
MT,public_building,8,0,0,8,0
MT,doctors,3,0,3,0,0
MT,community_centre,6,0,5,1,0
MT,library,12,0,10,2,0
MT,clinic,7,0,6,1,0
MT,social_facility,1,0,0,1,0
MT,car_wash,4,0,4,0,0
MT,dentist,5,0,5,0,0
MT,waste_disposal,0,0,0,0,0
MT,marketplace,1,0,0,1,0
MT,bus_station,11,0,6,5,0
MT,university,11,0,2,9,0
MT,college,6,0,1,5,0
MT,parking_entrance,3,0,3,0,0
MT,swimming_pool,0,0,0,0,0
MT,theatre,11,0,5,6,0
MT,taxi,5,0,5,0,0
MT,veterinary,6,0,5,1,0
