country_code,value,total,areas,nodes,ways,relations
NL,parking,45208,0,6709,38312,187
NL,place_of_worship,5399,0,1273,4080,46
NL,school,6011,0,2455,3416,140
NL,bench,32933,0,32822,111,0
NL,restaurant,13024,0,11187,1825,12
NL,fuel,3745,0,3033,705,7
NL,cafe,4080,0,3707,373,0
NL,fast_food,5446,0,4941,503,2
NL,bank,1250,0,1084,165,1
NL,waste_basket,13963,0,13961,2,0
NL,post_box,7209,0,7209,0,0
NL,pharmacy,1383,0,1297,85,1
NL,bicycle_parking,5558,0,3196,2356,6
NL,toilets,1312,0,1026,286,0
NL,kindergarten,610,0,503,106,1
NL,recycling,4927,0,4718,208,1
NL,shelter,1525,0,1174,350,1
NL,grave_yard,400,0,85,310,5
NL,drinking_water,597,0,596,1,0
NL,post_office,452,0,427,24,1
NL,pub,2818,0,2655,161,2
NL,bar,1233,0,1035,198,0
NL,hospital,294,0,152,106,36
NL,atm,2327,0,2319,8,0
NL,parking_space,1771,0,59,1711,1
NL,police,454,0,297,152,5
NL,hunting_stand,39,0,38,1,0
NL,vending_machine,986,0,985,1,0
NL,telephone,205,0,205,0,0
NL,townhall,466,0,324,125,17
NL,fire_station,907,0,604,301,2
NL,fountain,562,0,478,84,0
NL,public_building,198,0,41,151,6
NL,doctors,954,0,819,134,1
NL,community_centre,736,0,514,218,4
NL,library,602,0,523,76,3
NL,clinic,226,0,150,74,2
NL,social_facility,494,0,278,186,30
NL,car_wash,655,0,481,174,0
NL,dentist,662,0,576,86,0
NL,waste_disposal,1128,0,1122,6,0
NL,marketplace,168,0,103,62,3
NL,bus_station,176,0,115,58,3
NL,university,250,0,95,140,15
NL,college,385,0,115,256,14
NL,parking_entrance,597,0,581,16,0
NL,swimming_pool,175,0,86,89,0
NL,theatre,526,0,367,152,7
NL,taxi,176,0,156,20,0
NL,veterinary,315,0,270,45,0
