country_code,value,total,areas,nodes,ways,relations
NO,parking,21772,0,3727,17896,149
NO,place_of_worship,2523,0,461,2043,19
NO,school,2592,0,812,1707,73
NO,bench,3911,0,3833,77,1
NO,restaurant,1976,0,1772,203,1
NO,fuel,1948,0,1651,292,5
NO,cafe,1581,0,1392,186,3
NO,fast_food,862,0,769,93,0
NO,bank,387,0,339,47,1
NO,waste_basket,1176,0,1175,1,0
NO,post_box,661,0,661,0,0
NO,pharmacy,380,0,370,9,1
NO,bicycle_parking,1253,0,1001,252,0
NO,toilets,1525,0,1331,189,5
NO,kindergarten,1905,0,851,1023,31
NO,recycling,6660,0,6580,79,1
NO,shelter,1359,0,1004,355,0
NO,grave_yard,644,0,26,541,77
NO,drinking_water,299,0,296,3,0
NO,post_office,417,0,400,17,0
NO,pub,471,0,450,21,0
NO,bar,244,0,234,10,0
NO,hospital,149,0,58,87,4
NO,atm,374,0,373,1,0
NO,parking_space,297,0,54,239,4
NO,police,269,0,246,22,1
NO,hunting_stand,80,0,80,0,0
NO,vending_machine,196,0,196,0,0
NO,telephone,134,0,124,10,0
NO,townhall,205,0,103,101,1
NO,fire_station,776,0,697,79,0
NO,fountain,197,0,132,65,0
NO,public_building,328,0,44,284,0
NO,doctors,207,0,184,23,0
NO,community_centre,198,0,55,141,2
NO,library,246,0,204,40,2
NO,clinic,101,0,87,13,1
NO,social_facility,128,0,30,94,4
NO,car_wash,197,0,140,57,0
NO,dentist,159,0,145,14,0
NO,waste_disposal,141,0,136,5,0
NO,marketplace,17,0,8,8,1
NO,bus_station,182,0,139,42,1
NO,university,75,0,19,45,11
NO,college,50,0,24,23,3
NO,parking_entrance,234,0,231,1,2
NO,swimming_pool,64,0,38,26,0
NO,theatre,122,0,82,39,1
NO,taxi,253,0,230,23,0
NO,veterinary,70,0,61,9,0
