country_code,value,total,areas,nodes,ways,relations
PL,parking,115376,0,10063,104882,431
PL,place_of_worship,17738,0,2416,15257,65
PL,school,13788,0,4097,9477,214
PL,bench,31030,0,30672,357,1
PL,restaurant,13020,0,10534,2480,6
PL,fuel,7431,0,4582,2843,6
PL,cafe,2863,0,2595,267,1
PL,fast_food,5288,0,4399,886,3
PL,bank,6393,0,5554,834,5
PL,waste_basket,8603,0,8584,19,0
PL,post_box,2525,0,2523,2,0
PL,pharmacy,7794,0,7226,568,0
PL,bicycle_parking,6628,0,6161,466,1
PL,toilets,2690,0,1979,711,0
PL,kindergarten,4921,0,1674,3206,41
PL,recycling,3960,0,3324,633,3
PL,shelter,9414,0,6100,3311,3
PL,grave_yard,1030,0,116,903,11
PL,drinking_water,688,0,637,51,0
PL,post_office,3536,0,2883,650,3
PL,pub,2354,0,2101,250,3
PL,bar,1796,0,1502,294,0
PL,hospital,1768,0,614,1103,51
PL,atm,7702,0,7696,6,0
PL,parking_space,4760,0,265,4492,3
PL,police,1515,0,788,716,11
PL,hunting_stand,2446,0,2435,11,0
PL,vending_machine,2656,0,2639,17,0
PL,telephone,752,0,752,0,0
PL,townhall,1974,0,880,1073,21
PL,fire_station,6556,0,3538,3011,7
PL,fountain,2041,0,1290,743,8
PL,public_building,2051,0,504,1532,15
PL,doctors,3435,0,2232,1185,18
PL,community_centre,1004,0,488,513,3
PL,library,2206,0,1753,447,6
PL,clinic,852,0,497,343,12
PL,social_facility,752,0,276,469,7
PL,car_wash,3073,0,1562,1508,3
PL,dentist,1475,0,1337,138,0
PL,waste_disposal,2816,0,1662,1154,0
PL,marketplace,1011,0,244,758,9
PL,bus_station,661,0,424,234,3
PL,university,1044,0,252,742,50
PL,college,645,0,153,486,6
PL,parking_entrance,1869,0,1865,4,0
PL,swimming_pool,273,0,136,135,2
PL,theatre,527,0,230,290,7
PL,taxi,1362,0,1138,224,0
PL,veterinary,1025,0,834,190,1
