country_code,value,total,areas,nodes,ways,relations
PT,parking,31883,0,3744,27997,142
PT,place_of_worship,6492,0,1868,4572,52
PT,school,4292,0,949,3298,45
PT,bench,3717,0,3672,45,0
PT,restaurant,9333,0,8196,1134,3
PT,fuel,2662,0,1886,771,5
PT,cafe,8206,0,7396,806,4
PT,fast_food,668,0,593,74,1
PT,bank,2534,0,2361,171,2
PT,waste_basket,1666,0,1665,1,0
PT,post_box,411,0,411,0,0
PT,pharmacy,2079,0,1948,129,2
PT,bicycle_parking,318,0,308,10,0
PT,toilets,1545,0,1245,300,0
PT,kindergarten,688,0,314,374,0
PT,recycling,3996,0,3847,149,0
PT,shelter,660,0,240,419,1
PT,grave_yard,20,0,7,13,0
PT,drinking_water,2188,0,2178,10,0
PT,post_office,690,0,561,129,0
PT,pub,492,0,456,36,0
PT,bar,2211,0,1964,247,0
PT,hospital,796,0,287,488,21
PT,atm,1696,0,1696,0,0
PT,parking_space,609,0,126,481,2
PT,police,643,0,376,259,8
PT,hunting_stand,40,0,35,5,0
PT,vending_machine,258,0,258,0,0
PT,telephone,615,0,615,0,0
PT,townhall,1227,0,536,684,7
PT,fire_station,497,0,232,261,4
PT,fountain,1255,0,906,345,4
PT,public_building,1429,0,94,1314,21
PT,doctors,124,0,104,20,0
PT,community_centre,300,0,134,164,2
PT,library,409,0,231,171,7
PT,clinic,562,0,372,187,3
PT,social_facility,365,0,127,232,6
PT,car_wash,524,0,360,164,0
PT,dentist,215,0,201,14,0
PT,waste_disposal,1176,0,1171,5,0
PT,marketplace,490,0,188,295,7
PT,bus_station,347,0,226,119,2
PT,university,339,0,46,277,16
PT,college,145,0,34,107,4
PT,parking_entrance,733,0,730,3,0
PT,swimming_pool,1035,0,189,845,1
PT,theatre,284,0,128,152,4
PT,taxi,441,0,376,64,1
PT,veterinary,266,0,239,27,0
