country_code,value,total,areas,nodes,ways,relations
RO,parking,9524,0,3342,6150,32
RO,place_of_worship,9992,0,6542,3438,12
RO,school,2975,0,1177,1779,19
RO,bench,1210,0,1197,13,0
RO,restaurant,3886,0,3251,632,3
RO,fuel,2140,0,1651,488,1
RO,cafe,930,0,856,74,0
RO,fast_food,988,0,919,69,0
RO,bank,2856,0,2722,133,1
RO,waste_basket,206,0,206,0,0
RO,post_box,149,0,148,1,0
RO,pharmacy,2491,0,2442,49,0
RO,bicycle_parking,288,0,251,37,0
RO,toilets,352,0,296,56,0
RO,kindergarten,798,0,408,389,1
RO,recycling,302,0,282,20,0
RO,shelter,399,0,306,93,0
RO,grave_yard,902,0,38,858,6
RO,drinking_water,737,0,734,3,0
RO,post_office,684,0,591,91,2
RO,pub,653,0,577,75,1
RO,bar,1375,0,1233,142,0
RO,hospital,963,0,436,513,14
RO,atm,865,0,865,0,0
RO,parking_space,445,0,38,407,0
RO,police,1236,0,851,385,0
RO,hunting_stand,33,0,33,0,0
RO,vending_machine,77,0,76,1,0
RO,telephone,298,0,298,0,0
RO,townhall,816,0,478,332,6
RO,fire_station,201,0,129,72,0
RO,fountain,486,0,327,158,1
RO,public_building,5029,0,161,4859,9
RO,doctors,303,0,240,62,1
RO,community_centre,305,0,150,155,0
RO,library,255,0,184,67,4
RO,clinic,459,0,319,140,0
RO,social_facility,47,0,19,26,2
RO,car_wash,560,0,442,118,0
RO,dentist,344,0,325,19,0
RO,waste_disposal,95,0,77,18,0
RO,marketplace,452,0,151,301,0
RO,bus_station,377,0,309,68,0
RO,university,390,0,132,245,13
RO,college,445,0,117,322,6
RO,parking_entrance,61,0,61,0,0
RO,swimming_pool,125,0,55,70,0
RO,theatre,219,0,100,116,3
RO,taxi,431,0,410,21,0
RO,veterinary,156,0,132,24,0
