country_code,value,total,areas,nodes,ways,relations
SE,parking,52662,0,6173,46293,196
SE,place_of_worship,4117,0,1257,2831,29
SE,school,4798,0,1020,3572,206
SE,bench,6960,0,6907,53,0
SE,restaurant,7134,0,6524,606,4
SE,fuel,3087,0,2557,524,6
SE,cafe,3245,0,2982,263,0
SE,fast_food,3405,0,2935,470,0
SE,bank,781,0,736,45,0
SE,waste_basket,2979,0,2977,2,0
SE,post_box,3456,0,3455,1,0
SE,pharmacy,758,0,745,12,1
SE,bicycle_parking,3842,0,2597,1239,6
SE,toilets,2675,0,2357,318,0
SE,kindergarten,3213,0,754,2393,66
SE,recycling,3107,0,2536,559,12
SE,shelter,8939,0,8455,483,1
SE,grave_yard,1504,0,32,1366,106
SE,drinking_water,389,0,388,1,0
SE,post_office,306,0,278,28,0
SE,pub,575,0,555,20,0
SE,bar,267,0,260,7,0
SE,hospital,155,0,29,106,20
SE,atm,983,0,983,0,0
SE,parking_space,355,0,140,215,0
SE,police,204,0,145,51,8
SE,hunting_stand,338,0,330,8,0
SE,vending_machine,429,0,429,0,0
SE,telephone,172,0,172,0,0
SE,townhall,214,0,69,137,8
SE,fire_station,430,0,189,235,6
SE,fountain,518,0,349,169,0
SE,public_building,365,0,33,323,9
SE,doctors,160,0,120,36,4
SE,community_centre,372,0,135,235,2
SE,library,581,0,460,116,5
SE,clinic,476,0,308,143,25
SE,social_facility,383,0,60,302,21
SE,car_wash,331,0,247,84,0
SE,dentist,301,0,273,27,1
SE,waste_disposal,213,0,179,34,0
SE,marketplace,48,0,17,30,1
SE,bus_station,254,0,165,87,2
SE,university,210,0,30,151,29
SE,college,91,0,35,52,4
SE,parking_entrance,366,0,365,1,0
SE,swimming_pool,215,0,63,152,0
SE,theatre,294,0,191,100,3
SE,taxi,189,0,171,18,0
SE,veterinary,111,0,80,30,1
