country_code,value,total,areas,nodes,ways,relations
SK,parking,12513,0,2771,9700,42
SK,place_of_worship,5380,0,1534,3840,6
SK,school,2190,0,1096,1064,30
SK,bench,6299,0,6261,38,0
SK,restaurant,3450,0,2984,463,3
SK,fuel,941,0,786,155,0
SK,cafe,1304,0,1239,65,0
SK,fast_food,1062,0,951,111,0
SK,bank,942,0,869,72,1
SK,waste_basket,1915,0,1915,0,0
SK,post_box,998,0,997,1,0
SK,pharmacy,1202,0,1163,39,0
SK,bicycle_parking,973,0,953,20,0
SK,toilets,694,0,626,68,0
SK,kindergarten,979,0,516,454,9
SK,recycling,1077,0,965,112,0
SK,shelter,2140,0,1924,216,0
SK,grave_yard,153,0,77,76,0
SK,drinking_water,371,0,370,1,0
SK,post_office,845,0,709,134,2
SK,pub,3507,0,3129,378,0
SK,bar,559,0,515,44,0
SK,hospital,233,0,115,115,3
SK,atm,1634,0,1634,0,0
SK,parking_space,45,0,22,23,0
SK,police,321,0,242,76,3
SK,hunting_stand,2745,0,2744,1,0
SK,vending_machine,712,0,711,1,0
SK,telephone,369,0,369,0,0
SK,townhall,1327,0,937,387,3
SK,fire_station,388,0,239,149,0
SK,fountain,442,0,305,136,1
SK,public_building,91,0,25,66,0
SK,doctors,383,0,335,47,1
SK,community_centre,265,0,147,117,1
SK,library,1084,0,1038,44,2
SK,clinic,118,0,56,58,4
SK,social_facility,136,0,46,89,1
SK,car_wash,290,0,180,110,0
SK,dentist,207,0,198,9,0
SK,waste_disposal,604,0,570,34,0
SK,marketplace,109,0,61,47,1
SK,bus_station,179,0,133,43,3
SK,university,132,0,49,77,6
SK,college,184,0,92,90,2
SK,parking_entrance,277,0,277,0,0
SK,swimming_pool,3,0,1,2,0
SK,theatre,144,0,79,65,0
SK,taxi,85,0,83,2,0
SK,veterinary,150,0,130,20,0
