country,HDI,Life Expectancy at Birth,Expected Years of Schooling,Mean Years of Schooling,GNI per Capita,GNI per Capita minus HDI Rank,HDI Rank 2014,HDI Rank
Norway,0.9494228344910645,81.711,17.67187,12.74642,67614.35348,5,1,1
Australia,0.9386795356466093,82.537,20.43272,13.1751,42822.19627,19,3,2
Switzerland,0.9391308690593804,83.133,16.04041,13.37,56363.9578,7,2,2
Germany,0.9256689410716622,81.092,17.09594,13.18762553,44999.64714,13,4,4
Denmark,0.92464936963657,80.412,19.1888,12.70017,44518.92402,13,6,5
Singapore,0.9248659328300326,83.209,15.4,11.57241,78162.32387,-3,4,5
Netherlands,0.9243121712212924,81.706,18.11654,11.91407,46325.57658,8,6,7
Ireland,0.9227457665841561,81.052,18.5792,12.31397813,43797.96814,11,8,8
Iceland,0.9211095980790215,82.724,18.99422,12.19089155,37065.21451,20,9,9
Canada,0.92028441365135,82.224,16.325,13.10511486,42581.91433,12,9,10
United States,0.9195530557412356,79.222,16.53815,13.21789033,53245.07696,1,11,10
"Hong Kong, China (SAR)",0.9171573188561395,84.163,15.67329,11.59066599,54264.91478,-2,12,12
New Zealand,0.9149000555121013,82.026,19.2282,12.503,32870.07836,20,13,13
Sweden,0.9127061005309107,82.347,16.05545884,12.2737,46250.79382,2,15,14
Liechtenstein,0.9115174834876614,80.161,14.63511,12.35198793,75064.84111,-11,14,15
United Kingdom,0.9094909059083512,80.849,16.3109,13.28412,37930.82701,10,16,16
Japan,0.903462080218309,83.684,15.34048,12.464,37267.96407,10,17,17
Korea (Republic of),0.9009921296251476,82.128,16.58752,12.17921107,34540.64927,12,18,18
Israel,0.8988859271875156,82.561,15.99801,12.76185,31214.7148,16,19,19
Luxembourg,0.8984647206255297,81.881,13.86373,11.95083323,62470.59129,-12,20,20
France,0.8974358924762357,82.359,16.26508,11.62517418,38085.40033,4,22,21
Belgium,0.8955141454781904,80.984,16.63527,11.38096,41243.31382,1,21,22
Finland,0.8945174439106046,81.006,17.04792,11.194,38868.13552,1,23,23
Austria,0.8934050145503654,81.583,15.91223,11.33397586,43608.82387,-4,24,24
Slovenia,0.8903028242300923,80.575,17.3483,12.12194,28664.21147,13,25,25
Italy,0.8865521109455656,83.338,16.25827,10.86879343,33572.98249,6,27,26
Spain,0.8841532546274933,82.767,17.70032,9.79079,32778.51507,7,26,27
Czech Republic,0.8778419244842639,78.775,16.81404,12.33225,28143.97758,11,28,28
Greece,0.8658730961973498,81.071,17.21752,10.53946,24807.53589,16,29,29
Brunei Darussalam,0.8649367095808292,79.019,14.94486,9.02,72843.46609,-25,30,30
Estonia,0.8651183799439371,77.012,16.50275,12.54744874,26361.89394,12,31,30
Andorra,0.8584516561969304,81.458,13.52401627,10.25508,47979.45411,-18,32,32
Cyprus,0.8556458457392209,80.332,14.25613,11.69523,29458.52269,4,34,33
Malta,0.8558507749084324,80.726,14.59462,11.27129,29499.56023,3,35,33
Qatar,0.8555307266087055,78.323,13.4061,9.76463,129915.6009,-32,33,33
Poland,0.8552287887165734,77.62,16.37393,11.90293,24116.99224,11,36,36
Lithuania,0.8480985629653854,73.495,16.52306,12.70211,26006.47764,7,37,37
Chile,0.8466259513565016,81.956,16.3356,9.8965,21665.45797,16,38,38
Saudi Arabia,0.8466019110937777,74.444,16.11227,9.62752,51320.11323,-26,38,38
Slovakia,0.8449475821673539,76.409,14.96488,12.22690128,26763.61725,1,40,40
Portugal,0.8426580975248025,81.183,16.56576,8.88247,26103.62927,2,41,41
United Arab Emirates,0.8397991594790883,77.119,13.33,9.5,66203.29979,-35,42,42
