count,description,fraction,in_wiki,value
2707432,A place for parking cars,0.2127,True,parking
975480,A place where religious services are conducted,0.0766,True,place_of_worship
910381,A primary or secondary school (pupils typically aged 6 to 18),0.0715,True,school
869131,A place for people to sit; allows room for several people.,0.0683,True,bench
849394,"A restaurant sells full sit-down meals with servers, and may sell alcohol.",0.0667,True,restaurant
373030,A retail facility for refueling cars,0.0293,True,fuel
325680,A generally informal place with sit-down facilities selling beverages and light meals and/or snacks.,0.0256,True,cafe
302297,A place concentrating on very fast counter-only service and take-away food.,0.0237,True,fast_food
283139,"A financial establishment where customers can, among other services, deposit money and take loans.",0.0222,True,bank
248802,A single small container for depositing garbage that is easily accessible for pedestrians.,0.0195,True,waste_basket
246642,A box to deposit outgoing postal items.,0.0194,True,post_box
237587,A shop where a pharmacist sells medications,0.0187,True,pharmacy
213384,A place for parking bicycles.,0.0168,True,bicycle_parking
207277,A publicly accessible toilet,0.0163,True,toilets
202596,A place for looking after preschool children and (typically) giving early education.,0.0159,True,kindergarten
202562,A container or centre that accepts waste for recycling.,0.0159,True,recycling
194511,A small place to protect against bad weather conditions,0.0153,True,shelter
166561,A place where people (or sometimes animals) are buried which is close to a place of worship.,0.0131,True,grave_yard
163087,A drinking water source provides potable water for consumption.,0.0128,True,drinking_water
147974,A place where letters and parcels may be sent or collected.,0.0116,True,post_office
144313,A pub,0.0113,True,pub
142895,"An establishment that sells alcoholic drinks to be consumed on the premises,  characterised by a noisy and vibrant atmosphere. They usually do not sell food to be eaten as a meal. The music is usually loud and you often have to stand.",0.0112,True,bar
141443,A hospital providing in-patient medical treatment,0.0111,True,hospital
140222,A device that provides the clients of a financial institution with access to financial transactions.,0.011,True,atm
120077,A single parking space on a parking lot,0.0094,True,parking_space
107889,A police station is a building which police officers patrol from,0.0085,True,police
105309,An open or enclosed platform used by hunters to place themselves at an elevated height above the terrain.,0.0083,True,hunting_stand
104818,"A vending machine sells food, drinks, tickets or other goods automatically.",0.0082,True,vending_machine
101656,A public telephone,0.008,True,telephone
99506,A townhall serves as a community administrative center or meeting place.,0.0078,True,townhall
95676,A station from which the fire brigade operates.,0.0075,True,fire_station
90496,A fountain for cultural / decorational / recreational purposes.,0.0071,True,fountain
83947,,0.0066,True,public_building
83460,A place you can go to get medical attention or a check up.,0.0066,True,doctors
74378,"A place mostly used for local events, festivities and group activities.",0.0058,True,community_centre
69939,A place to read and/or lend books,0.0055,True,library
69260,"A medium-sized medical centre, typically without admission of inpatients.",0.0054,True,clinic
63853,A facility that provides social services,0.005,True,social_facility
59648,A car wash station,0.0047,True,car_wash
59361,A dentist practice / surgery.,0.0047,True,dentist
58873,"A medium size disposal bin, typically for bagged up household or industrial waste.",0.0046,True,waste_disposal
47388,A marketplace where trade is regulated.,0.0037,True,marketplace
47293,"A bus station would usually be a terminus where many routes stop / start, and where you can change between routes, etc.",0.0037,True,bus_station
47024,"An educational institution designed for instruction, examination, or both, of students in many branches of advanced learning.",0.0037,True,university
45259,"A place for further education, usually a post-secondary education institution",0.0036,True,college
43381,A entrance to an underground or multi storey parking facility,0.0034,True,parking_entrance
30811,"DISCOURAGED, use leisure=swimming_pool instead",0.0024,True,swimming_pool
29984,A place where live theatrical performances are held.,0.0024,True,theatre
29587,A place where taxis wait for passengers. Often near where many people congregate.,0.0023,True,taxi
28682,"A place that deals with the prevention, diagnosis and treatment of disease in animals.",0.0023,True,veterinary
